case,activity,timestamp,completeTime
16,N,2019/01/10 17:59:49.850,2019/01/10 17:59:49.850
30,A,2019/01/10 18:00:00.000,2019/01/10 18:00:00.000
24,D,2019/01/10 18:00:48.260,2019/01/10 18:00:48.260
27,C,2019/01/10 18:03:21.339,2019/01/10 18:03:21.339
10,F,2019/01/10 18:03:37.135,2019/01/10 18:03:37.135
18,I,2019/01/10 18:08:16.507,2019/01/10 18:08:16.507
29,D,2019/01/10 18:09:14.805,2019/01/10 18:09:14.805
14,M,2019/01/10 18:10:23.541,2019/01/10 18:10:23.541
26,A,2019/01/10 18:10:39.788,2019/01/10 18:10:39.788
19,M,2019/01/10 18:11:38.073,2019/01/10 18:11:38.073
25,D,2019/01/10 18:17:19.851,2019/01/10 18:17:19.851
11,G,2019/01/10 18:17:59.663,2019/01/10 18:17:59.663
31,A,2019/01/10 18:20:00.000,2019/01/10 18:20:00.000
20,C,2019/01/10 18:20:44.879,2019/01/10 18:20:44.879
28,F,2019/01/10 18:25:45.446,2019/01/10 18:25:45.446
21,G,2019/01/10 18:26:19.560,2019/01/10 18:26:19.560
22,E,2019/01/10 18:26:36.908,2019/01/10 18:26:36.908
10,E,2019/01/10 18:27:21.346,2019/01/10 18:27:21.346
24,F,2019/01/10 18:27:23.277,2019/01/10 18:27:23.277
27,A,2019/01/10 18:32:23.469,2019/01/10 18:32:23.469
30,B,2019/01/10 18:33:11.240,2019/01/10 18:33:11.240
18,J,2019/01/10 18:36:21.872,2019/01/10 18:36:21.872
19,O,2019/01/10 18:36:49.639,2019/01/10 18:36:49.639
14,N,2019/01/10 18:38:05.441,2019/01/10 18:38:05.441
29,F,2019/01/10 18:40:07.629,2019/01/10 18:40:07.629
26,D,2019/01/10 18:45:42.763,2019/01/10 18:45:42.763
11,I,2019/01/10 18:47:37.810,2019/01/10 18:47:37.810
25,F,2019/01/10 18:49:11.227,2019/01/10 18:49:11.227
31,B,2019/01/10 18:50:08.429,2019/01/10 18:50:08.429
20,A,2019/01/10 18:51:54.669,2019/01/10 18:51:54.669
22,G,2019/01/10 18:56:45.028,2019/01/10 18:56:45.028
10,G,2019/01/10 18:56:51.849,2019/01/10 18:56:51.849
24,E,2019/01/10 18:57:43.014,2019/01/10 18:57:43.014
28,E,2019/01/10 18:58:09.860,2019/01/10 18:58:09.860
21,I,2019/01/10 18:59:02.079,2019/01/10 18:59:02.079
33,A,2019/01/10 19:00:00.000,2019/01/10 19:00:00.000
27,D,2019/01/10 19:00:41.119,2019/01/10 19:00:41.119
30,C,2019/01/10 19:02:15.745,2019/01/10 19:02:15.745
29,E,2019/01/10 19:07:12.292,2019/01/10 19:07:12.292
18,L,2019/01/10 19:08:02.916,2019/01/10 19:08:02.916
11,J,2019/01/10 19:11:32.375,2019/01/10 19:11:32.375
26,F,2019/01/10 19:16:16.614,2019/01/10 19:16:16.614
25,E,2019/01/10 19:17:15.703,2019/01/10 19:17:15.703
31,C,2019/01/10 19:19:44.906,2019/01/10 19:19:44.906
34,A,2019/01/10 19:20:00.000,2019/01/10 19:20:00.000
28,G,2019/01/10 19:21:43.790,2019/01/10 19:21:43.790
20,D,2019/01/10 19:25:04.771,2019/01/10 19:25:04.771
33,D,2019/01/10 19:27:15.904,2019/01/10 19:27:15.904
21,J,2019/01/10 19:27:47.207,2019/01/10 19:27:47.207
10,I,2019/01/10 19:28:55.912,2019/01/10 19:28:55.912
22,H,2019/01/10 19:29:14.821,2019/01/10 19:29:14.821
30,A,2019/01/10 19:29:46.771,2019/01/10 19:29:46.771
27,F,2019/01/10 19:33:27.614,2019/01/10 19:33:27.614
24,G,2019/01/10 19:33:31.218,2019/01/10 19:33:31.218
29,G,2019/01/10 19:37:48.311,2019/01/10 19:37:48.311
18,M,2019/01/10 19:38:40.212,2019/01/10 19:38:40.212
35,A,2019/01/10 19:40:00.000,2019/01/10 19:40:00.000
11,L,2019/01/10 19:41:12.738,2019/01/10 19:41:12.738
31,A,2019/01/10 19:46:30.772,2019/01/10 19:46:30.772
34,B,2019/01/10 19:47:22.358,2019/01/10 19:47:22.358
26,E,2019/01/10 19:48:38.551,2019/01/10 19:48:38.551
25,G,2019/01/10 19:48:49.944,2019/01/10 19:48:49.944
28,H,2019/01/10 19:49:28.468,2019/01/10 19:49:28.468
21,L,2019/01/10 19:50:22.457,2019/01/10 19:50:22.457
20,F,2019/01/10 19:55:54.017,2019/01/10 19:55:54.017
36,A,2019/01/10 20:00:00.000,2019/01/10 20:00:00.000
33,F,2019/01/10 20:00:29.546,2019/01/10 20:00:29.546
27,E,2019/01/10 20:01:04.622,2019/01/10 20:01:04.622
30,B,2019/01/10 20:01:13.046,2019/01/10 20:01:13.046
10,J,2019/01/10 20:02:47.653,2019/01/10 20:02:47.653
18,N,2019/01/10 20:08:15.684,2019/01/10 20:08:15.684
29,H,2019/01/10 20:08:22.355,2019/01/10 20:08:22.355
24,I,2019/01/10 20:10:09.267,2019/01/10 20:10:09.267
35,B,2019/01/10 20:12:26.765,2019/01/10 20:12:26.765
11,M,2019/01/10 20:12:42.484,2019/01/10 20:12:42.484
34,C,2019/01/10 20:15:25.298,2019/01/10 20:15:25.298
31,B,2019/01/10 20:18:16.242,2019/01/10 20:18:16.242
25,I,2019/01/10 20:19:48.106,2019/01/10 20:19:48.106
37,A,2019/01/10 20:20:00.000,2019/01/10 20:20:00.000
21,M,2019/01/10 20:21:03.910,2019/01/10 20:21:03.910
26,G,2019/01/10 20:23:25.153,2019/01/10 20:23:25.153
20,E,2019/01/10 20:27:09.061,2019/01/10 20:27:09.061
33,E,2019/01/10 20:28:43.199,2019/01/10 20:28:43.199
30,C,2019/01/10 20:31:22.840,2019/01/10 20:31:22.840
10,L,2019/01/10 20:34:47.666,2019/01/10 20:34:47.666
36,D,2019/01/10 20:36:47.887,2019/01/10 20:36:47.887
27,G,2019/01/10 20:37:48.285,2019/01/10 20:37:48.285
35,C,2019/01/10 20:39:18.864,2019/01/10 20:39:18.864
24,J,2019/01/10 20:40:12.811,2019/01/10 20:40:12.811
34,A,2019/01/10 20:45:04.703,2019/01/10 20:45:04.703
11,O,2019/01/10 20:45:25.634,2019/01/10 20:45:25.634
23,B,2019/01/10 20:48:48.857,2019/01/10 20:48:48.857
26,H,2019/01/10 20:49:21.791,2019/01/10 20:49:21.791
37,B,2019/01/10 20:49:37.665,2019/01/10 20:49:37.665
33,G,2019/01/10 20:49:47.619,2019/01/10 20:49:47.619
25,J,2019/01/10 20:49:55.390,2019/01/10 20:49:55.390
21,O,2019/01/10 20:50:51.366,2019/01/10 20:50:51.366
31,C,2019/01/10 20:51:13.029,2019/01/10 20:51:13.029
30,A,2019/01/10 20:59:00.965,2019/01/10 20:59:00.965
20,G,2019/01/10 20:59:13.634,2019/01/10 20:59:13.634
39,A,2019/01/10 21:00:00.000,2019/01/10 21:00:00.000
27,H,2019/01/10 21:03:53.802,2019/01/10 21:03:53.802
36,F,2019/01/10 21:05:27.373,2019/01/10 21:05:27.373
10,M,2019/01/10 21:05:37.504,2019/01/10 21:05:37.504
34,D,2019/01/10 21:12:07.423,2019/01/10 21:12:07.423
24,K,2019/01/10 21:12:20.138,2019/01/10 21:12:20.138
35,A,2019/01/10 21:12:54.503,2019/01/10 21:12:54.503
23,C,2019/01/10 21:15:00.819,2019/01/10 21:15:00.819
37,C,2019/01/10 21:18:02.626,2019/01/10 21:18:02.626
31,A,2019/01/10 21:19:55.571,2019/01/10 21:19:55.571
25,L,2019/01/10 21:20:50.885,2019/01/10 21:20:50.885
20,I,2019/01/10 21:24:26.318,2019/01/10 21:24:26.318
30,B,2019/01/10 21:29:31.881,2019/01/10 21:29:31.881
39,B,2019/01/10 21:32:14.595,2019/01/10 21:32:14.595
36,E,2019/01/10 21:33:13.880,2019/01/10 21:33:13.880
10,O,2019/01/10 21:38:28.718,2019/01/10 21:38:28.718
41,A,2019/01/10 21:40:00.000,2019/01/10 21:40:00.000
34,F,2019/01/10 21:41:16.277,2019/01/10 21:41:16.277
24,M,2019/01/10 21:42:09.811,2019/01/10 21:42:09.811
23,A,2019/01/10 21:43:41.111,2019/01/10 21:43:41.111
35,B,2019/01/10 21:44:42.193,2019/01/10 21:44:42.193
31,B,2019/01/10 21:47:42.898,2019/01/10 21:47:42.898
25,M,2019/01/10 21:50:55.139,2019/01/10 21:50:55.139
37,A,2019/01/10 21:51:20.195,2019/01/10 21:51:20.195
20,J,2019/01/10 21:56:31.052,2019/01/10 21:56:31.052
42,A,2019/01/10 22:00:00.000,2019/01/10 22:00:00.000
30,C,2019/01/10 22:00:06.564,2019/01/10 22:00:06.564
36,G,2019/01/10 22:01:13.320,2019/01/10 22:01:13.320
39,C,2019/01/10 22:04:49.274,2019/01/10 22:04:49.274
41,B,2019/01/10 22:10:38.669,2019/01/10 22:10:38.669
34,E,2019/01/10 22:11:27.982,2019/01/10 22:11:27.982
24,O,2019/01/10 22:12:59.599,2019/01/10 22:12:59.599
35,C,2019/01/10 22:13:51.464,2019/01/10 22:13:51.464
23,B,2019/01/10 22:15:37.265,2019/01/10 22:15:37.265
25,N,2019/01/10 22:16:08.832,2019/01/10 22:16:08.832
31,C,2019/01/10 22:18:35.790,2019/01/10 22:18:35.790
43,A,2019/01/10 22:20:00.000,2019/01/10 22:20:00.000
37,D,2019/01/10 22:24:26.544,2019/01/10 22:24:26.544
36,H,2019/01/10 22:28:58.015,2019/01/10 22:28:58.015
42,B,2019/01/10 22:30:29.847,2019/01/10 22:30:29.847
20,L,2019/01/10 22:31:31.246,2019/01/10 22:31:31.246
30,A,2019/01/10 22:33:24.697,2019/01/10 22:33:24.697
39,A,2019/01/10 22:36:59.380,2019/01/10 22:36:59.380
44,A,2019/01/10 22:40:00.000,2019/01/10 22:40:00.000
38,D,2019/01/10 22:40:07.365,2019/01/10 22:40:07.365
41,C,2019/01/10 22:40:19.055,2019/01/10 22:40:19.055
34,G,2019/01/10 22:40:58.932,2019/01/10 22:40:58.932
23,C,2019/01/10 22:41:18.730,2019/01/10 22:41:18.730
32,F,2019/01/10 22:42:26.784,2019/01/10 22:42:26.784
35,A,2019/01/10 22:43:21.620,2019/01/10 22:43:21.620
37,F,2019/01/10 22:51:16.749,2019/01/10 22:51:16.749
31,A,2019/01/10 22:53:40.197,2019/01/10 22:53:40.197
43,D,2019/01/10 22:54:03.744,2019/01/10 22:54:03.744
20,M,2019/01/10 22:58:36.146,2019/01/10 22:58:36.146
45,A,2019/01/10 23:00:00.000,2019/01/10 23:00:00.000
42,C,2019/01/10 23:04:05.929,2019/01/10 23:04:05.929
30,D,2019/01/10 23:06:48.401,2019/01/10 23:06:48.401
34,I,2019/01/10 23:07:06.785,2019/01/10 23:07:06.785
39,D,2019/01/10 23:08:47.452,2019/01/10 23:08:47.452
41,A,2019/01/10 23:10:54.212,2019/01/10 23:10:54.212
38,F,2019/01/10 23:12:06.845,2019/01/10 23:12:06.845
23,A,2019/01/10 23:12:58.789,2019/01/10 23:12:58.789
44,B,2019/01/10 23:14:49.222,2019/01/10 23:14:49.222
32,E,2019/01/10 23:15:21.175,2019/01/10 23:15:21.175
37,E,2019/01/10 23:19:54.861,2019/01/10 23:19:54.861
46,A,2019/01/10 23:20:00.000,2019/01/10 23:20:00.000
20,N,2019/01/10 23:24:02.014,2019/01/10 23:24:02.014
31,D,2019/01/10 23:25:18.485,2019/01/10 23:25:18.485
43,F,2019/01/10 23:26:34.585,2019/01/10 23:26:34.585
45,D,2019/01/10 23:27:02.955,2019/01/10 23:27:02.955
42,A,2019/01/10 23:32:12.704,2019/01/10 23:32:12.704
30,F,2019/01/10 23:36:32.697,2019/01/10 23:36:32.697
41,B,2019/01/10 23:37:29.693,2019/01/10 23:37:29.693
34,J,2019/01/10 23:39:32.713,2019/01/10 23:39:32.713
47,A,2019/01/10 23:40:00.000,2019/01/10 23:40:00.000
39,F,2019/01/10 23:40:02.654,2019/01/10 23:40:02.654
38,E,2019/01/10 23:41:20.018,2019/01/10 23:41:20.018
23,D,2019/01/10 23:43:00.926,2019/01/10 23:43:00.926
44,C,2019/01/10 23:43:11.639,2019/01/10 23:43:11.639
32,G,2019/01/10 23:47:18.031,2019/01/10 23:47:18.031
37,G,2019/01/10 23:49:30.539,2019/01/10 23:49:30.539
46,B,2019/01/10 23:50:16.985,2019/01/10 23:50:16.985
40,I,2019/01/10 23:50:18.906,2019/01/10 23:50:18.906
45,F,2019/01/10 23:53:36.321,2019/01/10 23:53:36.321
43,E,2019/01/10 23:57:27.810,2019/01/10 23:57:27.810
31,F,2019/01/10 23:58:16.349,2019/01/10 23:58:16.349
42,D,2019/01/11 00:05:37.327,2019/01/11 00:05:37.327
30,E,2019/01/11 00:06:57.733,2019/01/11 00:06:57.733
39,E,2019/01/11 00:07:10.765,2019/01/11 00:07:10.765
47,B,2019/01/11 00:07:25.000,2019/01/11 00:07:25.000
41,C,2019/01/11 00:09:34.943,2019/01/11 00:09:34.943
38,G,2019/01/11 00:10:24.108,2019/01/11 00:10:24.108
44,A,2019/01/11 00:11:11.483,2019/01/11 00:11:11.483
34,K,2019/01/11 00:11:30.969,2019/01/11 00:11:30.969
23,F,2019/01/11 00:16:21.323,2019/01/11 00:16:21.323
32,I,2019/01/11 00:17:03.853,2019/01/11 00:17:03.853
40,J,2019/01/11 00:18:39.946,2019/01/11 00:18:39.946
37,I,2019/01/11 00:18:47.367,2019/01/11 00:18:47.367
49,A,2019/01/11 00:20:00.000,2019/01/11 00:20:00.000
46,C,2019/01/11 00:22:45.546,2019/01/11 00:22:45.546
45,E,2019/01/11 00:22:56.532,2019/01/11 00:22:56.532
43,G,2019/01/11 00:25:38.766,2019/01/11 00:25:38.766
31,E,2019/01/11 00:26:06.009,2019/01/11 00:26:06.009
42,F,2019/01/11 00:29:09.128,2019/01/11 00:29:09.128
30,G,2019/01/11 00:34:22.118,2019/01/11 00:34:22.118
23,E,2019/01/11 00:39:52.615,2019/01/11 00:39:52.615
