case,activity,timestamp,completeTime,first,second,country
1,O,2019/01/10 12:56:01.784,2019/01/10 12:56:01.784,8,201,Tajikistan
15,A,2019/01/10 13:00:00.000,2019/01/10 13:00:00.000,28,215,Martinique
6,E,2019/01/10 13:01:59.572,2019/01/10 13:01:59.572,103,147,Micronesia
9,G,2019/01/10 13:04:11.446,2019/01/10 13:04:11.446,8,120,Kyrgyzstan
14,B,2019/01/10 13:05:56.738,2019/01/10 13:05:56.738,186,144,Puerto Rico
12,F,2019/01/10 13:06:41.960,2019/01/10 13:06:41.960,36,80,Ceuta & Melilla
11,A,2019/01/10 13:09:19.322,2019/01/10 13:09:19.322,130,177,Saudi Arabia
8,I,2019/01/10 13:09:36.203,2019/01/10 13:09:36.203,39,66,Australia
2,N,2019/01/10 13:14:03.492,2019/01/10 13:14:03.492,211,160,Isle of Man
5,G,2019/01/10 13:14:27.506,2019/01/10 13:14:27.506,88,206,Tunisia
10,B,2019/01/10 13:19:53.319,2019/01/10 13:19:53.319,24,40,Kenya
16,A,2019/01/10 13:20:00.000,2019/01/10 13:20:00.000,93,14,Belize
0,F,2019/01/10 13:22:20.894,2019/01/10 13:22:20.894,231,209,Tuvalu
15,D,2019/01/10 13:32:25.987,2019/01/10 13:32:25.987,121,223,Cape Verde
6,G,2019/01/10 13:34:45.099,2019/01/10 13:34:45.099,173,242,French Guiana
14,C,2019/01/10 13:35:46.719,2019/01/10 13:35:46.719,230,234,Caribbean Netherlands
9,H,2019/01/10 13:38:00.974,2019/01/10 13:38:00.974,13,35,Sri Lanka
17,A,2019/01/10 13:40:00.000,2019/01/10 13:40:00.000,164,6,Kuwait
11,B,2019/01/10 13:40:17.085,2019/01/10 13:40:17.085,114,10,Åland Islands
8,J,2019/01/10 13:42:37.276,2019/01/10 13:42:37.276,5,33,Kosovo
13,E,2019/01/10 13:43:54.117,2019/01/10 13:43:54.117,74,113,Equatorial Guinea
5,I,2019/01/10 13:45:09.174,2019/01/10 13:45:09.174,140,96,Suriname
0,E,2019/01/10 13:50:24.085,2019/01/10 13:50:24.085,141,102,St. Pierre & Miquelon
10,C,2019/01/10 13:51:27.825,2019/01/10 13:51:27.825,135,152,United Kingdom
16,D,2019/01/10 13:52:22.690,2019/01/10 13:52:22.690,201,201,Angola
18,A,2019/01/10 14:00:00.000,2019/01/10 14:00:00.000,112,123,Venezuela
15,F,2019/01/10 14:01:08.801,2019/01/10 14:01:08.801,6,62,Dominica
6,I,2019/01/10 14:02:07.145,2019/01/10 14:02:07.145,101,48,Saudi Arabia
14,A,2019/01/10 14:07:03.629,2019/01/10 14:07:03.629,95,252,Guadeloupe
8,K,2019/01/10 14:09:14.173,2019/01/10 14:09:14.173,179,173,Congo - Brazzaville
17,B,2019/01/10 14:10:58.133,2019/01/10 14:10:58.133,18,59,Diego Garcia
11,C,2019/01/10 14:12:11.783,2019/01/10 14:12:11.783,47,192,Belize
13,G,2019/01/10 14:13:28.914,2019/01/10 14:13:28.914,180,34,El Salvador
5,J,2019/01/10 14:14:28.089,2019/01/10 14:14:28.089,36,13,Aruba
10,A,2019/01/10 14:17:56.527,2019/01/10 14:17:56.527,162,229,Cameroon
0,G,2019/01/10 14:19:33.269,2019/01/10 14:19:33.269,165,143,Bhutan
19,A,2019/01/10 14:20:00.000,2019/01/10 14:20:00.000,224,128,Kenya
16,F,2019/01/10 14:21:45.234,2019/01/10 14:21:45.234,148,214,Peru
18,B,2019/01/10 14:27:31.108,2019/01/10 14:27:31.108,79,29,El Salvador
6,J,2019/01/10 14:30:12.603,2019/01/10 14:30:12.603,22,37,French Southern Territories
15,E,2019/01/10 14:32:02.888,2019/01/10 14:32:02.888,88,22,Liechtenstein
14,D,2019/01/10 14:39:49.207,2019/01/10 14:39:49.207,149,188,Uganda
8,M,2019/01/10 14:39:54.781,2019/01/10 14:39:54.781,195,99,Sint Maarten
20,A,2019/01/10 14:40:00.000,2019/01/10 14:40:00.000,92,74,Brazil
17,C,2019/01/10 14:41:10.514,2019/01/10 14:41:10.514,58,85,Chad
11,A,2019/01/10 14:41:12.907,2019/01/10 14:41:12.907,98,250,Uganda
5,L,2019/01/10 14:43:11.090,2019/01/10 14:43:11.090,67,162,Colombia
13,H,2019/01/10 14:43:42.910,2019/01/10 14:43:42.910,103,190,Sri Lanka
10,B,2019/01/10 14:49:44.029,2019/01/10 14:49:44.029,98,161,Sri Lanka
19,D,2019/01/10 14:50:03.680,2019/01/10 14:50:03.680,69,93,Diego Garcia
0,I,2019/01/10 14:51:28.227,2019/01/10 14:51:28.227,194,103,Kazakhstan
16,E,2019/01/10 14:57:52.614,2019/01/10 14:57:52.614,242,58,Uzbekistan
18,C,2019/01/10 14:58:29.552,2019/01/10 14:58:29.552,200,59,Croatia
21,A,2019/01/10 15:00:00.000,2019/01/10 15:00:00.000,115,221,Faroe Islands
6,L,2019/01/10 15:00:57.679,2019/01/10 15:00:57.679,56,182,Norfolk Island
15,G,2019/01/10 15:03:16.161,2019/01/10 15:03:16.161,245,50,South Sudan
17,A,2019/01/10 15:06:26.389,2019/01/10 15:06:26.389,213,113,Faroe Islands
20,B,2019/01/10 15:08:46.112,2019/01/10 15:08:46.112,84,88,Bahrain
14,F,2019/01/10 15:09:15.124,2019/01/10 15:09:15.124,68,109,Morocco
11,B,2019/01/10 15:09:52.280,2019/01/10 15:09:52.280,160,254,Kyrgyzstan
8,O,2019/01/10 15:10:20.049,2019/01/10 15:10:20.049,109,130,Armenia
5,M,2019/01/10 15:16:55.824,2019/01/10 15:16:55.824,232,254,Antarctica
10,C,2019/01/10 15:17:24.223,2019/01/10 15:17:24.223,128,126,India
22,A,2019/01/10 15:20:00.000,2019/01/10 15:20:00.000,96,231,Belgium
0,J,2019/01/10 15:20:28.784,2019/01/10 15:20:28.784,233,115,El Salvador
19,F,2019/01/10 15:21:56.154,2019/01/10 15:21:56.154,152,241,Uganda
16,G,2019/01/10 15:25:14.039,2019/01/10 15:25:14.039,254,230,Morocco
18,A,2019/01/10 15:29:40.534,2019/01/10 15:29:40.534,216,218,Gambia
21,B,2019/01/10 15:29:57.149,2019/01/10 15:29:57.149,20,10,South Georgia & South Sandwich Islands
17,D,2019/01/10 15:31:35.577,2019/01/10 15:31:35.577,24,17,Faroe Islands
15,H,2019/01/10 15:32:01.649,2019/01/10 15:32:01.649,95,115,Antarctica
6,M,2019/01/10 15:33:00.444,2019/01/10 15:33:00.444,161,243,Sri Lanka
14,E,2019/01/10 15:33:59.065,2019/01/10 15:33:59.065,248,73,French Guiana
20,C,2019/01/10 15:34:02.050,2019/01/10 15:34:02.050,79,99,Bulgaria
11,C,2019/01/10 15:39:25.730,2019/01/10 15:39:25.730,50,22,St. Pierre & Miquelon
5,O,2019/01/10 15:44:22.923,2019/01/10 15:44:22.923,235,223,Nepal
0,L,2019/01/10 15:47:47.331,2019/01/10 15:47:47.331,51,208,Vietnam
10,A,2019/01/10 15:48:08.908,2019/01/10 15:48:08.908,89,42,Slovakia
22,B,2019/01/10 15:50:45.835,2019/01/10 15:50:45.835,51,8,Costa Rica
19,E,2019/01/10 15:50:50.323,2019/01/10 15:50:50.323,37,67,Mauritania
21,C,2019/01/10 15:56:42.229,2019/01/10 15:56:42.229,90,67,Aruba
20,A,2019/01/10 15:57:02.408,2019/01/10 15:57:02.408,0,83,Russia
18,D,2019/01/10 15:57:12.038,2019/01/10 15:57:12.038,216,130,Tonga
24,A,2019/01/10 16:00:00.000,2019/01/10 16:00:00.000,209,214,South Korea
16,I,2019/01/10 16:00:37.897,2019/01/10 16:00:37.897,232,223,Qatar
14,G,2019/01/10 16:01:46.710,2019/01/10 16:01:46.710,156,25,Mali
17,F,2019/01/10 16:04:01.219,2019/01/10 16:04:01.219,162,135,Fiji
6,O,2019/01/10 16:04:46.028,2019/01/10 16:04:46.028,226,7,Lebanon
0,M,2019/01/10 16:11:18.538,2019/01/10 16:11:18.538,36,75,Nepal
10,B,2019/01/10 16:12:52.725,2019/01/10 16:12:52.725,97,220,Côte d'Ivoire
11,A,2019/01/10 16:17:09.594,2019/01/10 16:17:09.594,98,150,Oman
19,G,2019/01/10 16:19:51.404,2019/01/10 16:19:51.404,228,221,Antarctica
25,A,2019/01/10 16:20:00.000,2019/01/10 16:20:00.000,185,201,Denmark
22,C,2019/01/10 16:22:44.196,2019/01/10 16:22:44.196,136,104,Zimbabwe
20,B,2019/01/10 16:24:28.286,2019/01/10 16:24:28.286,236,243,New Caledonia
21,A,2019/01/10 16:26:36.852,2019/01/10 16:26:36.852,221,211,Slovenia
24,B,2019/01/10 16:28:53.357,2019/01/10 16:28:53.357,44,247,Syria
16,J,2019/01/10 16:31:51.759,2019/01/10 16:31:51.759,2,55,Luxembourg
18,F,2019/01/10 16:32:58.504,2019/01/10 16:32:58.504,207,38,Cook Islands
14,I,2019/01/10 16:33:41.693,2019/01/10 16:33:41.693,16,52,Georgia
17,E,2019/01/10 16:38:03.779,2019/01/10 16:38:03.779,172,176,Iraq
0,O,2019/01/10 16:38:56.047,2019/01/10 16:38:56.047,104,131,U.S. Virgin Islands
26,A,2019/01/10 16:40:00.000,2019/01/10 16:40:00.000,84,135,Egypt
10,C,2019/01/10 16:41:50.868,2019/01/10 16:41:50.868,6,18,Namibia
25,B,2019/01/10 16:42:53.356,2019/01/10 16:42:53.356,252,135,France
11,D,2019/01/10 16:43:11.834,2019/01/10 16:43:11.834,160,79,Belgium
19,I,2019/01/10 16:47:49.643,2019/01/10 16:47:49.643,103,230,Cocos (Keeling) Islands
22,A,2019/01/10 16:52:03.811,2019/01/10 16:52:03.811,101,71,Tokelau
20,C,2019/01/10 16:52:39.206,2019/01/10 16:52:39.206,86,101,Central African Republic
24,C,2019/01/10 16:58:45.427,2019/01/10 16:58:45.427,141,22,Montserrat
16,K,2019/01/10 16:59:21.165,2019/01/10 16:59:21.165,84,162,Somalia
27,A,2019/01/10 17:00:00.000,2019/01/10 17:00:00.000,232,251,Luxembourg
21,D,2019/01/10 17:01:34.148,2019/01/10 17:01:34.148,135,235,Azerbaijan
14,J,2019/01/10 17:04:22.970,2019/01/10 17:04:22.970,60,207,St. Barthélemy
17,G,2019/01/10 17:06:00.586,2019/01/10 17:06:00.586,210,120,Greece
18,E,2019/01/10 17:08:11.850,2019/01/10 17:08:11.850,200,107,Indonesia
10,A,2019/01/10 17:09:03.664,2019/01/10 17:09:03.664,172,90,Chile
26,B,2019/01/10 17:11:45.784,2019/01/10 17:11:45.784,56,1,China
19,J,2019/01/10 17:12:32.627,2019/01/10 17:12:32.627,95,20,Kiribati
11,F,2019/01/10 17:13:46.791,2019/01/10 17:13:46.791,153,239,Martinique
25,C,2019/01/10 17:15:54.197,2019/01/10 17:15:54.197,171,81,Malta
28,A,2019/01/10 17:20:00.000,2019/01/10 17:20:00.000,15,150,Burkina Faso
22,D,2019/01/10 17:22:47.445,2019/01/10 17:22:47.445,146,158,New Caledonia
20,A,2019/01/10 17:23:41.025,2019/01/10 17:23:41.025,13,0,Micronesia
21,F,2019/01/10 17:26:46.019,2019/01/10 17:26:46.019,40,69,Mongolia
27,B,2019/01/10 17:30:23.222,2019/01/10 17:30:23.222,221,190,Armenia
24,A,2019/01/10 17:31:26.554,2019/01/10 17:31:26.554,191,183,Honduras
16,M,2019/01/10 17:31:34.429,2019/01/10 17:31:34.429,20,100,Argentina
18,G,2019/01/10 17:37:55.744,2019/01/10 17:37:55.744,154,205,Costa Rica
17,H,2019/01/10 17:38:31.287,2019/01/10 17:38:31.287,103,164,Romania
10,D,2019/01/10 17:39:29.482,2019/01/10 17:39:29.482,235,152,St. Martin
14,K,2019/01/10 17:39:59.327,2019/01/10 17:39:59.327,56,245,Poland
29,A,2019/01/10 17:40:00.000,2019/01/10 17:40:00.000,111,21,Jordan
11,E,2019/01/10 17:40:10.599,2019/01/10 17:40:10.599,197,160,Turks & Caicos Islands
19,K,2019/01/10 17:42:55.364,2019/01/10 17:42:55.364,84,239,Libya
26,C,2019/01/10 17:44:35.940,2019/01/10 17:44:35.940,125,195,Iraq
20,B,2019/01/10 17:48:11.320,2019/01/10 17:48:11.320,45,250,Guatemala
25,A,2019/01/10 17:49:40.496,2019/01/10 17:49:40.496,139,108,Djibouti
28,D,2019/01/10 17:50:12.193,2019/01/10 17:50:12.193,143,73,Burkina Faso
21,E,2019/01/10 17:54:03.249,2019/01/10 17:54:03.249,20,178,Denmark
22,F,2019/01/10 17:55:12.892,2019/01/10 17:55:12.892,218,50,France
16,N,2019/01/10 17:59:49.850,2019/01/10 17:59:49.850,60,80,Zimbabwe
30,A,2019/01/10 18:00:00.000,2019/01/10 18:00:00.000,154,22,Marshall Islands
24,D,2019/01/10 18:00:48.260,2019/01/10 18:00:48.260,64,128,Bahamas
27,C,2019/01/10 18:03:21.339,2019/01/10 18:03:21.339,60,252,Armenia
10,F,2019/01/10 18:03:37.135,2019/01/10 18:03:37.135,171,31,Gambia
18,I,2019/01/10 18:08:16.507,2019/01/10 18:08:16.507,191,240,St. Vincent & Grenadines
29,D,2019/01/10 18:09:14.805,2019/01/10 18:09:14.805,58,213,Papua New Guinea
14,M,2019/01/10 18:10:23.541,2019/01/10 18:10:23.541,189,181,Poland
26,A,2019/01/10 18:10:39.788,2019/01/10 18:10:39.788,234,147,Japan
19,M,2019/01/10 18:11:38.073,2019/01/10 18:11:38.073,143,113,St. Barthélemy
25,D,2019/01/10 18:17:19.851,2019/01/10 18:17:19.851,186,115,Monaco
11,G,2019/01/10 18:17:59.663,2019/01/10 18:17:59.663,68,212,Iceland
31,A,2019/01/10 18:20:00.000,2019/01/10 18:20:00.000,93,196,Lesotho
20,C,2019/01/10 18:20:44.879,2019/01/10 18:20:44.879,121,33,Kosovo
28,F,2019/01/10 18:25:45.446,2019/01/10 18:25:45.446,119,160,St. Martin
21,G,2019/01/10 18:26:19.560,2019/01/10 18:26:19.560,156,30,Russia
22,E,2019/01/10 18:26:36.908,2019/01/10 18:26:36.908,8,38,Iran
10,E,2019/01/10 18:27:21.346,2019/01/10 18:27:21.346,151,214,Sweden
24,F,2019/01/10 18:27:23.277,2019/01/10 18:27:23.277,164,114,Benin
27,A,2019/01/10 18:32:23.469,2019/01/10 18:32:23.469,81,119,United Kingdom
30,B,2019/01/10 18:33:11.240,2019/01/10 18:33:11.240,39,49,Nepal
18,J,2019/01/10 18:36:21.872,2019/01/10 18:36:21.872,73,192,U.S. Outlying Islands
19,O,2019/01/10 18:36:49.639,2019/01/10 18:36:49.639,2,54,Maldives
14,N,2019/01/10 18:38:05.441,2019/01/10 18:38:05.441,140,182,Svalbard & Jan Mayen
29,F,2019/01/10 18:40:07.629,2019/01/10 18:40:07.629,190,170,Burkina Faso
26,D,2019/01/10 18:45:42.763,2019/01/10 18:45:42.763,160,92,South Georgia & South Sandwich Islands
11,I,2019/01/10 18:47:37.810,2019/01/10 18:47:37.810,148,95,Vietnam
25,F,2019/01/10 18:49:11.227,2019/01/10 18:49:11.227,30,98,Micronesia
31,B,2019/01/10 18:50:08.429,2019/01/10 18:50:08.429,14,176,Montserrat
20,A,2019/01/10 18:51:54.669,2019/01/10 18:51:54.669,120,92,Iceland
22,G,2019/01/10 18:56:45.028,2019/01/10 18:56:45.028,123,184,British Indian Ocean Territory
10,G,2019/01/10 18:56:51.849,2019/01/10 18:56:51.849,221,194,Curaçao
24,E,2019/01/10 18:57:43.014,2019/01/10 18:57:43.014,119,129,Canada
28,E,2019/01/10 18:58:09.860,2019/01/10 18:58:09.860,173,23,Ukraine
21,I,2019/01/10 18:59:02.079,2019/01/10 18:59:02.079,105,93,Marshall Islands
33,A,2019/01/10 19:00:00.000,2019/01/10 19:00:00.000,236,95,Romania
27,D,2019/01/10 19:00:41.119,2019/01/10 19:00:41.119,144,116,Nicaragua
30,C,2019/01/10 19:02:15.745,2019/01/10 19:02:15.745,105,242,American Samoa
29,E,2019/01/10 19:07:12.292,2019/01/10 19:07:12.292,40,218,Côte d'Ivoire
18,L,2019/01/10 19:08:02.916,2019/01/10 19:08:02.916,99,246,Gambia
11,J,2019/01/10 19:11:32.375,2019/01/10 19:11:32.375,141,42,Netherlands
26,F,2019/01/10 19:16:16.614,2019/01/10 19:16:16.614,41,36,Finland
25,E,2019/01/10 19:17:15.703,2019/01/10 19:17:15.703,37,182,Poland
31,C,2019/01/10 19:19:44.906,2019/01/10 19:19:44.906,114,108,Eritrea
34,A,2019/01/10 19:20:00.000,2019/01/10 19:20:00.000,83,8,Monaco
28,G,2019/01/10 19:21:43.790,2019/01/10 19:21:43.790,116,133,Antigua & Barbuda
20,D,2019/01/10 19:25:04.771,2019/01/10 19:25:04.771,201,234,Chad
33,D,2019/01/10 19:27:15.904,2019/01/10 19:27:15.904,222,223,Gabon
21,J,2019/01/10 19:27:47.207,2019/01/10 19:27:47.207,240,106,Angola
10,I,2019/01/10 19:28:55.912,2019/01/10 19:28:55.912,184,175,Paraguay
22,H,2019/01/10 19:29:14.821,2019/01/10 19:29:14.821,100,138,Lithuania
30,A,2019/01/10 19:29:46.771,2019/01/10 19:29:46.771,69,18,Norfolk Island
27,F,2019/01/10 19:33:27.614,2019/01/10 19:33:27.614,127,140,Samoa
24,G,2019/01/10 19:33:31.218,2019/01/10 19:33:31.218,77,241,Germany
29,G,2019/01/10 19:37:48.311,2019/01/10 19:37:48.311,240,143,South Africa
18,M,2019/01/10 19:38:40.212,2019/01/10 19:38:40.212,13,172,Cyprus
35,A,2019/01/10 19:40:00.000,2019/01/10 19:40:00.000,156,174,French Polynesia
11,L,2019/01/10 19:41:12.738,2019/01/10 19:41:12.738,77,146,Canada
31,A,2019/01/10 19:46:30.772,2019/01/10 19:46:30.772,219,168,Turkey
34,B,2019/01/10 19:47:22.358,2019/01/10 19:47:22.358,63,173,Madagascar
26,E,2019/01/10 19:48:38.551,2019/01/10 19:48:38.551,180,193,Mongolia
25,G,2019/01/10 19:48:49.944,2019/01/10 19:48:49.944,2,94,Swaziland
28,H,2019/01/10 19:49:28.468,2019/01/10 19:49:28.468,77,17,Northern Mariana Islands
21,L,2019/01/10 19:50:22.457,2019/01/10 19:50:22.457,166,189,Seychelles
20,F,2019/01/10 19:55:54.017,2019/01/10 19:55:54.017,211,210,Diego Garcia
36,A,2019/01/10 20:00:00.000,2019/01/10 20:00:00.000,189,85,Kosovo
33,F,2019/01/10 20:00:29.546,2019/01/10 20:00:29.546,48,123,Qatar
27,E,2019/01/10 20:01:04.622,2019/01/10 20:01:04.622,185,108,Poland
30,B,2019/01/10 20:01:13.046,2019/01/10 20:01:13.046,105,197,Kuwait
10,J,2019/01/10 20:02:47.653,2019/01/10 20:02:47.653,216,116,Montserrat
18,N,2019/01/10 20:08:15.684,2019/01/10 20:08:15.684,19,232,South Africa
29,H,2019/01/10 20:08:22.355,2019/01/10 20:08:22.355,79,239,Tonga
24,I,2019/01/10 20:10:09.267,2019/01/10 20:10:09.267,195,66,Latvia
35,B,2019/01/10 20:12:26.765,2019/01/10 20:12:26.765,96,190,Anguilla
11,M,2019/01/10 20:12:42.484,2019/01/10 20:12:42.484,103,231,Lebanon
34,C,2019/01/10 20:15:25.298,2019/01/10 20:15:25.298,118,51,Burundi
31,B,2019/01/10 20:18:16.242,2019/01/10 20:18:16.242,198,213,Isle of Man
25,I,2019/01/10 20:19:48.106,2019/01/10 20:19:48.106,191,206,St. Vincent & Grenadines
37,A,2019/01/10 20:20:00.000,2019/01/10 20:20:00.000,163,36,Jordan
21,M,2019/01/10 20:21:03.910,2019/01/10 20:21:03.910,175,145,Brazil
26,G,2019/01/10 20:23:25.153,2019/01/10 20:23:25.153,7,184,Slovakia
20,E,2019/01/10 20:27:09.061,2019/01/10 20:27:09.061,3,112,Grenada
33,E,2019/01/10 20:28:43.199,2019/01/10 20:28:43.199,58,119,South Korea
30,C,2019/01/10 20:31:22.840,2019/01/10 20:31:22.840,175,228,Malaysia
10,L,2019/01/10 20:34:47.666,2019/01/10 20:34:47.666,27,9,Somalia
36,D,2019/01/10 20:36:47.887,2019/01/10 20:36:47.887,167,123,United States
27,G,2019/01/10 20:37:48.285,2019/01/10 20:37:48.285,20,88,Norway
35,C,2019/01/10 20:39:18.864,2019/01/10 20:39:18.864,120,18,Tokelau
24,J,2019/01/10 20:40:12.811,2019/01/10 20:40:12.811,104,58,Venezuela
34,A,2019/01/10 20:45:04.703,2019/01/10 20:45:04.703,246,2,Indonesia
11,O,2019/01/10 20:45:25.634,2019/01/10 20:45:25.634,238,237,Kosovo
23,B,2019/01/10 20:48:48.857,2019/01/10 20:48:48.857,174,25,Sierra Leone
26,H,2019/01/10 20:49:21.791,2019/01/10 20:49:21.791,105,242,Colombia
37,B,2019/01/10 20:49:37.665,2019/01/10 20:49:37.665,53,94,Lebanon
33,G,2019/01/10 20:49:47.619,2019/01/10 20:49:47.619,241,155,Equatorial Guinea
25,J,2019/01/10 20:49:55.390,2019/01/10 20:49:55.390,40,22,Venezuela
21,O,2019/01/10 20:50:51.366,2019/01/10 20:50:51.366,45,141,Hong Kong SAR China
31,C,2019/01/10 20:51:13.029,2019/01/10 20:51:13.029,209,63,Montenegro
30,A,2019/01/10 20:59:00.965,2019/01/10 20:59:00.965,188,15,Romania
20,G,2019/01/10 20:59:13.634,2019/01/10 20:59:13.634,69,13,Wallis & Futuna
39,A,2019/01/10 21:00:00.000,2019/01/10 21:00:00.000,54,40,Bangladesh
27,H,2019/01/10 21:03:53.802,2019/01/10 21:03:53.802,170,221,Madagascar
36,F,2019/01/10 21:05:27.373,2019/01/10 21:05:27.373,255,204,Kuwait
10,M,2019/01/10 21:05:37.504,2019/01/10 21:05:37.504,211,221,Brazil
34,D,2019/01/10 21:12:07.423,2019/01/10 21:12:07.423,242,104,Uruguay
24,K,2019/01/10 21:12:20.138,2019/01/10 21:12:20.138,119,249,Montenegro
35,A,2019/01/10 21:12:54.503,2019/01/10 21:12:54.503,185,189,Ghana
23,C,2019/01/10 21:15:00.819,2019/01/10 21:15:00.819,182,244,Zimbabwe
37,C,2019/01/10 21:18:02.626,2019/01/10 21:18:02.626,37,191,Austria
31,A,2019/01/10 21:19:55.571,2019/01/10 21:19:55.571,71,213,Suriname
