case,activity,timestamp
5,C,2019/01/10 13:42:45.378
13,E,2019/01/10 13:43:27.157
8,E,2019/01/10 13:47:51.866
16,B,2019/01/10 13:48:32.409
11,G,2019/01/10 13:48:50.719
10,I,2019/01/10 13:50:52.334
7,G,2019/01/10 13:56:29.376
12,D,2019/01/10 13:57:18.842
18,A,2019/01/10 14:00:00.000
9,J,2019/01/10 14:02:14.798
15,F,2019/01/10 14:03:56.100
14,A,2019/01/10 14:05:59.850
17,D,2019/01/10 14:08:36.996
13,G,2019/01/10 14:14:24.298
6,J,2019/01/10 14:14:41.076
10,J,2019/01/10 14:17:40.506
19,A,2019/01/10 14:20:00.000
8,G,2019/01/10 14:20:27.143
11,I,2019/01/10 14:22:28.547
7,I,2019/01/10 14:24:29.977
12,F,2019/01/10 14:24:58.127
16,C,2019/01/10 14:25:01.810
9,L,2019/01/10 14:25:40.046
18,B,2019/01/10 14:31:16.830
15,E,2019/01/10 14:33:17.226
14,B,2019/01/10 14:36:08.448
20,A,2019/01/10 14:40:00.000
17,F,2019/01/10 14:41:01.276
13,H,2019/01/10 14:41:28.800
6,K,2019/01/10 14:45:42.733
10,K,2019/01/10 14:45:56.929
8,H,2019/01/10 14:46:18.972
19,D,2019/01/10 14:49:22.967
11,J,2019/01/10 14:52:44.927
16,A,2019/01/10 14:55:35.381
7,J,2019/01/10 14:55:40.539
12,E,2019/01/10 14:55:46.058
9,M,2019/01/10 14:56:59.734
21,A,2019/01/10 15:00:00.000
14,C,2019/01/10 15:06:07.657
15,G,2019/01/10 15:06:15.109
18,C,2019/01/10 15:07:42.860
20,B,2019/01/10 15:10:06.081
10,M,2019/01/10 15:12:48.663
17,E,2019/01/10 15:13:08.817
6,M,2019/01/10 15:17:14.678
22,A,2019/01/10 15:20:00.000
19,F,2019/01/10 15:21:41.119
16,D,2019/01/10 15:22:45.597
21,D,2019/01/10 15:24:55.134
7,K,2019/01/10 15:25:57.672
12,G,2019/01/10 15:28:02.882
11,K,2019/01/10 15:28:38.249
9,N,2019/01/10 15:28:45.714
14,A,2019/01/10 15:31:35.109
15,H,2019/01/10 15:34:45.745
23,A,2019/01/10 15:40:00.000
17,G,2019/01/10 15:40:07.518
18,A,2019/01/10 15:40:12.176
20,C,2019/01/10 15:41:27.320
10,O,2019/01/10 15:46:20.218
6,N,2019/01/10 15:50:46.229
19,E,2019/01/10 15:52:17.661
22,B,2019/01/10 15:52:25.355
16,F,2019/01/10 15:53:55.027
21,F,2019/01/10 15:54:44.395
7,M,2019/01/10 15:55:01.492
12,H,2019/01/10 15:57:48.414
11,M,2019/01/10 15:59:40.414
14,D,2019/01/10 16:00:59.038
18,D,2019/01/10 16:07:17.076
23,D,2019/01/10 16:07:21.912
17,H,2019/01/10 16:08:23.638
20,A,2019/01/10 16:11:03.527
16,E,2019/01/10 16:19:40.520
25,A,2019/01/10 16:20:00.000
21,E,2019/01/10 16:22:36.235
22,C,2019/01/10 16:24:14.768
19,G,2019/01/10 16:26:14.277
11,O,2019/01/10 16:26:50.099
14,F,2019/01/10 16:27:27.829
7,N,2019/01/10 16:28:50.054
18,F,2019/01/10 16:30:50.725
23,F,2019/01/10 16:37:30.705
26,A,2019/01/10 16:40:00.000
20,B,2019/01/10 16:46:06.386
25,B,2019/01/10 16:48:28.772
21,G,2019/01/10 16:50:35.574
16,G,2019/01/10 16:52:09.452
22,A,2019/01/10 16:52:18.910
14,E,2019/01/10 16:56:10.718
19,I,2019/01/10 16:59:00.490
18,E,2019/01/10 16:59:44.871
27,A,2019/01/10 17:00:00.000
23,E,2019/01/10 17:05:01.656
26,B,2019/01/10 17:12:06.679
20,C,2019/01/10 17:14:53.496
25,C,2019/01/10 17:14:56.875
21,I,2019/01/10 17:18:39.979
28,A,2019/01/10 17:20:00.000
22,D,2019/01/10 17:20:39.909
16,I,2019/01/10 17:22:32.123
27,D,2019/01/10 17:29:47.384
14,G,2019/01/10 17:31:04.695
19,J,2019/01/10 17:31:54.816
23,G,2019/01/10 17:32:09.980
18,G,2019/01/10 17:35:30.995
29,A,2019/01/10 17:40:00.000
20,A,2019/01/10 17:42:55.395
25,A,2019/01/10 17:44:33.743
21,J,2019/01/10 17:45:32.056
26,C,2019/01/10 17:45:50.227
16,J,2019/01/10 17:46:11.083
22,F,2019/01/10 17:48:29.291
28,D,2019/01/10 17:52:59.988
30,A,2019/01/10 18:00:00.000
27,F,2019/01/10 18:00:06.453
23,H,2019/01/10 18:00:33.572
14,I,2019/01/10 18:00:40.643
19,K,2019/01/10 18:00:57.325
18,I,2019/01/10 18:05:27.681
29,D,2019/01/10 18:08:38.175
26,A,2019/01/10 18:14:01.809
16,K,2019/01/10 18:14:12.256
21,K,2019/01/10 18:14:14.136
20,B,2019/01/10 18:15:14.602
25,D,2019/01/10 18:16:35.846
31,A,2019/01/10 18:20:00.000
22,E,2019/01/10 18:22:13.847
28,F,2019/01/10 18:22:55.292
30,B,2019/01/10 18:27:29.619
18,J,2019/01/10 18:27:59.391
14,J,2019/01/10 18:29:47.390
19,M,2019/01/10 18:30:40.867
24,I,2019/01/10 18:31:21.959
27,E,2019/01/10 18:33:22.587
32,A,2019/01/10 18:40:00.000
21,M,2019/01/10 18:40:32.453
16,M,2019/01/10 18:42:10.880
29,F,2019/01/10 18:43:21.371
20,C,2019/01/10 18:43:21.450
26,D,2019/01/10 18:44:39.295
25,F,2019/01/10 18:48:23.997
31,B,2019/01/10 18:49:08.392
22,G,2019/01/10 18:53:06.256
28,E,2019/01/10 18:55:38.859
30,C,2019/01/10 18:56:19.348
18,K,2019/01/10 18:56:55.728
14,L,2019/01/10 18:59:47.313
33,A,2019/01/10 19:00:00.000
19,O,2019/01/10 19:01:21.098
24,J,2019/01/10 19:02:26.689
27,G,2019/01/10 19:06:22.820
32,D,2019/01/10 19:09:26.932
20,A,2019/01/10 19:09:41.826
21,O,2019/01/10 19:10:04.233
16,O,2019/01/10 19:12:46.286
26,F,2019/01/10 19:14:27.964
31,C,2019/01/10 19:15:18.305
29,E,2019/01/10 19:18:09.790
25,E,2019/01/10 19:18:40.252
34,A,2019/01/10 19:20:00.000
22,I,2019/01/10 19:24:49.411
14,M,2019/01/10 19:27:31.952
33,B,2019/01/10 19:29:07.956
30,A,2019/01/10 19:29:11.055
18,M,2019/01/10 19:30:26.202
28,G,2019/01/10 19:31:37.350
27,H,2019/01/10 19:32:25.712
20,B,2019/01/10 19:33:51.449
24,L,2019/01/10 19:35:48.256
35,A,2019/01/10 19:40:00.000
32,F,2019/01/10 19:41:33.519
26,E,2019/01/10 19:44:13.084
34,D,2019/01/10 19:47:55.695
31,A,2019/01/10 19:49:00.189
29,G,2019/01/10 19:49:17.226
25,G,2019/01/10 19:49:26.493
14,O,2019/01/10 19:57:12.908
20,C,2019/01/10 19:57:42.322
22,J,2019/01/10 19:59:55.086
36,A,2019/01/10 20:00:00.000
28,I,2019/01/10 20:01:33.177
30,D,2019/01/10 20:01:45.188
18,O,2019/01/10 20:01:56.825
33,C,2019/01/10 20:02:05.306
24,M,2019/01/10 20:10:09.922
35,D,2019/01/10 20:10:30.245
26,G,2019/01/10 20:10:32.907
32,E,2019/01/10 20:13:59.766
25,I,2019/01/10 20:14:33.319
34,F,2019/01/10 20:18:52.711
37,A,2019/01/10 20:20:00.000
29,H,2019/01/10 20:21:06.929
31,B,2019/01/10 20:21:26.856
20,A,2019/01/10 20:25:33.733
22,L,2019/01/10 20:27:38.766
36,B,2019/01/10 20:32:05.654
28,J,2019/01/10 20:33:45.757
33,A,2019/01/10 20:34:42.694
30,F,2019/01/10 20:35:21.043
35,F,2019/01/10 20:35:40.172
26,I,2019/01/10 20:36:43.182
38,A,2019/01/10 20:40:00.000
24,O,2019/01/10 20:43:17.150
25,J,2019/01/10 20:44:03.080
32,G,2019/01/10 20:44:09.082
31,C,2019/01/10 20:49:01.987
34,E,2019/01/10 20:49:20.879
37,D,2019/01/10 20:52:59.737
20,B,2019/01/10 20:55:31.701
36,C,2019/01/10 20:57:50.160
22,M,2019/01/10 20:57:59.627
39,A,2019/01/10 21:00:00.000
26,J,2019/01/10 21:05:04.610
35,E,2019/01/10 21:05:28.337
33,B,2019/01/10 21:05:45.941
28,L,2019/01/10 21:06:22.442
30,E,2019/01/10 21:08:36.382
38,D,2019/01/10 21:10:00.366
32,I,2019/01/10 21:10:57.134
25,K,2019/01/10 21:12:36.862
31,A,2019/01/10 21:14:44.534
34,G,2019/01/10 21:16:48.300
40,A,2019/01/10 21:20:00.000
37,F,2019/01/10 21:23:59.120
20,C,2019/01/10 21:25:53.521
22,O,2019/01/10 21:26:22.258
36,A,2019/01/10 21:30:04.147
39,B,2019/01/10 21:31:01.515
33,C,2019/01/10 21:33:27.313
28,M,2019/01/10 21:34:04.556
35,G,2019/01/10 21:35:13.207
25,M,2019/01/10 21:36:02.762
26,K,2019/01/10 21:36:31.651
30,G,2019/01/10 21:38:32.003
41,A,2019/01/10 21:40:00.000
32,J,2019/01/10 21:41:42.813
31,B,2019/01/10 21:46:17.449
38,F,2019/01/10 21:46:20.710
40,D,2019/01/10 21:48:45.164
34,I,2019/01/10 21:49:21.029
39,C,2019/01/10 21:57:51.109
20,A,2019/01/10 21:58:29.923
33,A,2019/01/10 21:59:05.603
42,A,2019/01/10 22:00:00.000
28,N,2019/01/10 22:02:55.528
25,N,2019/01/10 22:05:19.597
36,B,2019/01/10 22:05:40.957
26,M,2019/01/10 22:07:47.428
41,D,2019/01/10 22:09:05.915
32,K,2019/01/10 22:11:06.880
35,I,2019/01/10 22:11:49.580
38,E,2019/01/10 22:14:22.197
40,F,2019/01/10 22:17:19.486
30,I,2019/01/10 22:17:46.150
34,J,2019/01/10 22:17:49.809
31,C,2019/01/10 22:19:46.668
43,A,2019/01/10 22:20:00.000
20,D,2019/01/10 22:25:21.089
33,B,2019/01/10 22:26:24.408
39,A,2019/01/10 22:30:06.040
36,C,2019/01/10 22:32:47.976
41,F,2019/01/10 22:35:14.348
26,N,2019/01/10 22:36:58.896
42,D,2019/01/10 22:37:51.528
35,J,2019/01/10 22:38:27.236
32,M,2019/01/10 22:39:02.125
44,A,2019/01/10 22:40:00.000
38,G,2019/01/10 22:41:47.002
34,L,2019/01/10 22:46:19.743
30,J,2019/01/10 22:47:40.323
40,E,2019/01/10 22:48:14.818
31,A,2019/01/10 22:48:17.525
43,B,2019/01/10 22:51:00.071
33,C,2019/01/10 22:56:08.489
45,A,2019/01/10 23:00:00.000
39,B,2019/01/10 23:02:08.021
20,F,2019/01/10 23:02:11.794
41,E,2019/01/10 23:04:40.797
36,A,2019/01/10 23:05:15.224
42,F,2019/01/10 23:05:42.195
32,N,2019/01/10 23:09:28.410
35,K,2019/01/10 23:10:04.195
40,G,2019/01/10 23:10:24.912
44,D,2019/01/10 23:10:28.244
30,L,2019/01/10 23:10:57.817
38,I,2019/01/10 23:13:41.320
34,M,2019/01/10 23:14:23.869
31,D,2019/01/10 23:16:44.693
43,C,2019/01/10 23:19:26.915
46,A,2019/01/10 23:20:00.000
33,A,2019/01/10 23:25:03.398
20,E,2019/01/10 23:29:49.685
45,D,2019/01/10 23:32:06.970
39,C,2019/01/10 23:33:17.616
42,E,2019/01/10 23:35:03.519
36,B,2019/01/10 23:36:23.623
40,I,2019/01/10 23:36:31.222
41,G,2019/01/10 23:36:38.770
47,A,2019/01/10 23:40:00.000
44,F,2019/01/10 23:40:34.548
30,M,2019/01/10 23:40:34.743
38,J,2019/01/10 23:40:45.721
35,M,2019/01/10 23:41:13.022
31,F,2019/01/10 23:48:08.701
34,O,2019/01/10 23:49:58.781
43,A,2019/01/10 23:53:26.578
46,D,2019/01/10 23:54:26.708
20,G,2019/01/10 23:58:05.426
45,F,2019/01/10 23:58:54.649
39,A,2019/01/10 23:59:47.333
48,A,2019/01/11 00:00:00.000
33,D,2019/01/11 00:01:04.134
47,D,2019/01/11 00:03:23.315
40,J,2019/01/11 00:05:49.741
44,E,2019/01/11 00:06:12.505
36,C,2019/01/11 00:06:18.230
41,H,2019/01/11 00:07:31.810
30,O,2019/01/11 00:08:04.306
38,K,2019/01/11 00:10:11.196
42,G,2019/01/11 00:10:17.187
35,N,2019/01/11 00:12:54.616
31,E,2019/01/11 00:14:39.538
43,D,2019/01/11 00:19:50.108
49,A,2019/01/11 00:20:00.000
20,I,2019/01/11 00:24:22.322
48,D,2019/01/11 00:26:48.645
45,E,2019/01/11 00:27:58.178
46,F,2019/01/11 00:28:08.166
47,F,2019/01/11 00:30:29.468
39,D,2019/01/11 00:31:28.206
36,A,2019/01/11 00:34:31.575
33,F,2019/01/11 00:36:58.071
40,L,2019/01/11 00:37:43.682
42,I,2019/01/11 00:40:25.980
38,M,2019/01/11 00:41:21.154
44,G,2019/01/11 00:43:49.158
31,G,2019/01/11 00:45:44.008
43,F,2019/01/11 00:48:23.672
48,F,2019/01/11 00:51:13.374
20,J,2019/01/11 00:53:52.752
49,D,2019/01/11 00:55:14.320
46,E,2019/01/11 00:55:58.243
47,E,2019/01/11 00:59:16.776
36,B,2019/01/11 01:00:04.564
45,G,2019/01/11 01:01:00.181
39,F,2019/01/11 01:02:58.359
33,E,2019/01/11 01:04:29.440
38,O,2019/01/11 01:06:38.558
42,J,2019/01/11 01:07:20.972
44,H,2019/01/11 01:11:47.542
40,M,2019/01/11 01:12:18.415
31,H,2019/01/11 01:16:03.854
43,E,2019/01/11 01:16:42.061
48,E,2019/01/11 01:17:17.039
20,K,2019/01/11 01:19:06.387
46,G,2019/01/11 01:24:18.329
49,F,2019/01/11 01:25:11.281
47,G,2019/01/11 01:27:02.014
45,I,2019/01/11 01:27:35.149
39,E,2019/01/11 01:28:36.260
36,C,2019/01/11 01:30:32.803
33,G,2019/01/11 01:33:47.523
42,K,2019/01/11 01:38:21.720
40,O,2019/01/11 01:41:52.208
20,M,2019/01/11 01:44:33.410
48,G,2019/01/11 01:49:08.799
43,G,2019/01/11 01:49:34.122
46,H,2019/01/11 01:50:31.821
49,E,2019/01/11 01:52:43.940
39,G,2019/01/11 01:55:15.779
36,A,2019/01/11 01:55:58.248
33,I,2019/01/11 01:56:08.612
47,H,2019/01/11 01:56:33.524
45,J,2019/01/11 01:57:54.783
20,O,2019/01/11 02:10:56.085
42,M,2019/01/11 02:13:37.329
43,H,2019/01/11 02:18:54.701
48,H,2019/01/11 02:22:10.197
49,G,2019/01/11 02:23:19.441
36,D,2019/01/11 02:24:31.694
39,I,2019/01/11 02:25:56.589
33,J,2019/01/11 02:27:59.585
45,L,2019/01/11 02:31:14.031
42,O,2019/01/11 02:43:46.821
49,H,2019/01/11 02:51:45.325
33,L,2019/01/11 02:54:38.229
36,F,2019/01/11 02:54:44.283
39,J,2019/01/11 03:01:20.984
45,M,2019/01/11 03:05:14.088
36,E,2019/01/11 03:23:03.377
33,M,2019/01/11 03:27:39.458
39,L,2019/01/11 03:29:31.187
45,N,2019/01/11 03:33:20.183
36,G,2019/01/11 03:54:08.114
33,N,2019/01/11 03:55:37.934
39,M,2019/01/11 04:00:58.427
36,I,2019/01/11 04:22:40.099
39,N,2019/01/11 04:33:36.531
36,J,2019/01/11 04:54:22.740
36,K,2019/01/11 05:23:41.879
36,M,2019/01/11 05:51:08.759
36,N,2019/01/11 06:21:57.455
50,A,2019/01/11 07:00:00.000
51,A,2019/01/11 07:20:00.000
50,B,2019/01/11 07:32:02.789
52,A,2019/01/11 07:40:00.000
51,D,2019/01/11 07:49:37.009
53,A,2019/01/11 08:00:00.000
50,C,2019/01/11 08:04:34.340
52,B,2019/01/11 08:08:38.314
54,A,2019/01/11 08:20:00.000
51,F,2019/01/11 08:22:48.074
53,D,2019/01/11 08:30:07.387
50,A,2019/01/11 08:30:13.124
52,C,2019/01/11 08:37:46.123
55,A,2019/01/11 08:40:00.000
54,B,2019/01/11 08:51:06.267
51,E,2019/01/11 08:55:34.655
53,F,2019/01/11 08:59:00.030
56,A,2019/01/11 09:00:00.000
50,D,2019/01/11 09:01:30.433
52,A,2019/01/11 09:06:11.825
55,B,2019/01/11 09:10:17.075
57,A,2019/01/11 09:20:00.000
54,C,2019/01/11 09:22:06.437
51,G,2019/01/11 09:24:23.608
56,B,2019/01/11 09:31:37.357
50,F,2019/01/11 09:33:23.970
53,E,2019/01/11 09:34:07.620
52,B,2019/01/11 09:37:30.678
58,A,2019/01/11 09:40:00.000
55,C,2019/01/11 09:41:53.764
57,B,2019/01/11 09:44:29.375
54,A,2019/01/11 09:52:07.189
51,I,2019/01/11 09:58:04.942
59,A,2019/01/11 10:00:00.000
56,C,2019/01/11 10:02:53.064
53,G,2019/01/11 10:04:15.074
50,E,2019/01/11 10:05:23.077
52,C,2019/01/11 10:10:33.659
58,B,2019/01/11 10:10:51.521
55,A,2019/01/11 10:12:20.024
57,C,2019/01/11 10:12:53.273
54,B,2019/01/11 10:19:26.749
60,A,2019/01/11 10:20:00.000
51,J,2019/01/11 10:23:18.344
59,D,2019/01/11 10:29:53.847
56,A,2019/01/11 10:33:32.024
53,P,2019/01/11 10:35:50.374
58,C,2019/01/11 10:35:57.214
50,G,2019/01/11 10:38:15.812
61,A,2019/01/11 10:40:00.000
52,A,2019/01/11 10:40:15.273
55,B,2019/01/11 10:41:54.736
57,A,2019/01/11 10:44:09.567
60,B,2019/01/11 10:45:26.002
54,C,2019/01/11 10:52:28.833
51,L,2019/01/11 10:54:54.645
62,A,2019/01/11 11:00:00.000
59,F,2019/01/11 11:02:27.876
61,B,2019/01/11 11:04:52.101
52,B,2019/01/11 11:05:29.246
56,B,2019/01/11 11:05:56.519
55,C,2019/01/11 11:06:16.706
50,P,2019/01/11 11:07:48.358
58,A,2019/01/11 11:08:18.887
57,D,2019/01/11 11:13:12.622
60,C,2019/01/11 11:18:46.358
63,A,2019/01/11 11:20:00.000
54,A,2019/01/11 11:20:38.399
51,M,2019/01/11 11:22:10.549
62,D,2019/01/11 11:29:12.947
56,C,2019/01/11 11:31:44.132
52,C,2019/01/11 11:32:54.926
61,C,2019/01/11 11:33:02.072
55,A,2019/01/11 11:34:48.985
59,E,2019/01/11 11:36:45.848
58,B,2019/01/11 11:37:01.941
64,A,2019/01/11 11:40:00.000
57,F,2019/01/11 11:44:51.051
60,A,2019/01/11 11:50:24.717
63,D,2019/01/11 11:53:13.189
51,O,2019/01/11 11:55:38.317
54,B,2019/01/11 11:57:07.593
61,A,2019/01/11 11:58:42.908
65,A,2019/01/11 12:00:00.000
62,F,2019/01/11 12:00:08.506
56,A,2019/01/11 12:00:22.191
52,A,2019/01/11 12:00:37.044
55,B,2019/01/11 12:04:25.601
59,G,2019/01/11 12:06:51.233
58,C,2019/01/11 12:07:31.715
64,B,2019/01/11 12:09:10.181
57,E,2019/01/11 12:09:44.193
54,C,2019/01/11 12:19:09.945
66,A,2019/01/11 12:20:00.000
60,D,2019/01/11 12:20:37.827
65,D,2019/01/11 12:24:36.681
61,D,2019/01/11 12:24:49.880
63,F,2019/01/11 12:27:04.583
62,E,2019/01/11 12:28:33.399
56,B,2019/01/11 12:30:46.793
52,D,2019/01/11 12:31:35.158
55,C,2019/01/11 12:36:42.341
64,C,2019/01/11 12:37:13.867
67,A,2019/01/11 12:40:00.000
57,G,2019/01/11 12:40:19.097
58,A,2019/01/11 12:40:52.730
59,I,2019/01/11 12:43:30.833
66,D,2019/01/11 12:46:30.729
54,A,2019/01/11 12:47:36.891
60,F,2019/01/11 12:51:53.328
61,F,2019/01/11 12:52:33.761
63,E,2019/01/11 12:54:49.774
65,F,2019/01/11 12:57:55.216
68,A,2019/01/11 13:00:00.000
52,F,2019/01/11 13:00:47.337
62,G,2019/01/11 13:01:27.339
56,C,2019/01/11 13:01:53.860
64,A,2019/01/11 13:08:52.854
57,I,2019/01/11 13:10:14.687
55,A,2019/01/11 13:11:01.917
67,B,2019/01/11 13:12:11.354
58,B,2019/01/11 13:12:15.034
59,J,2019/01/11 13:13:28.970
66,F,2019/01/11 13:16:15.916
69,A,2019/01/11 13:20:00.000
54,B,2019/01/11 13:20:10.188
60,E,2019/01/11 13:21:45.307
63,G,2019/01/11 13:24:13.335
61,E,2019/01/11 13:24:16.288
68,D,2019/01/11 13:32:03.884
52,E,2019/01/11 13:32:26.520
56,A,2019/01/11 13:32:37.281
65,E,2019/01/11 13:33:13.188
62,I,2019/01/11 13:34:33.488
57,J,2019/01/11 13:38:58.288
70,A,2019/01/11 13:40:00.000
66,E,2019/01/11 13:40:55.163
55,B,2019/01/11 13:41:45.874
64,B,2019/01/11 13:43:06.223
60,G,2019/01/11 13:43:22.353
54,C,2019/01/11 13:46:42.077
58,C,2019/01/11 13:47:10.874
59,K,2019/01/11 13:47:12.795
69,B,2019/01/11 13:47:38.621
67,C,2019/01/11 13:47:58.967
61,G,2019/01/11 13:54:15.788
63,P,2019/01/11 13:54:40.559
71,A,2019/01/11 14:00:00.000
56,B,2019/01/11 14:00:16.964
52,G,2019/01/11 14:00:46.990
68,F,2019/01/11 14:03:35.899
65,G,2019/01/11 14:05:22.386
62,J,2019/01/11 14:05:37.102
66,G,2019/01/11 14:07:12.921
70,D,2019/01/11 14:09:21.248
57,L,2019/01/11 14:10:50.375
69,C,2019/01/11 14:13:07.705
55,C,2019/01/11 14:13:27.681
59,M,2019/01/11 14:13:45.883
64,C,2019/01/11 14:14:37.741
54,A,2019/01/11 14:14:46.474
67,A,2019/01/11 14:15:05.208
58,A,2019/01/11 14:15:55.746
60,I,2019/01/11 14:18:49.744
72,A,2019/01/11 14:20:00.000
61,P,2019/01/11 14:23:23.665
68,E,2019/01/11 14:26:33.104
52,H,2019/01/11 14:27:12.712
71,D,2019/01/11 14:28:13.669
56,C,2019/01/11 14:29:55.890
62,K,2019/01/11 14:34:45.081
65,P,2019/01/11 14:36:03.114
66,I,2019/01/11 14:39:41.203
73,A,2019/01/11 14:40:00.000
59,N,2019/01/11 14:40:41.768
57,M,2019/01/11 14:40:57.390
67,B,2019/01/11 14:41:20.337
70,F,2019/01/11 14:41:27.349
55,A,2019/01/11 14:41:58.797
54,B,2019/01/11 14:42:58.321
69,A,2019/01/11 14:43:50.685
58,B,2019/01/11 14:47:00.422
72,D,2019/01/11 14:47:40.867
64,A,2019/01/11 14:47:51.220
60,J,2019/01/11 14:49:22.723
68,G,2019/01/11 14:50:50.191
52,P,2019/01/11 14:55:09.600
71,F,2019/01/11 14:57:07.146
56,A,2019/01/11 15:00:27.827
62,M,2019/01/11 15:04:51.529
73,D,2019/01/11 15:06:27.683
66,J,2019/01/11 15:08:17.977
67,C,2019/01/11 15:11:22.917
70,E,2019/01/11 15:11:36.106
55,D,2019/01/11 15:11:40.281
57,O,2019/01/11 15:13:08.294
69,D,2019/01/11 15:13:39.393
54,C,2019/01/11 15:16:51.973
72,F,2019/01/11 15:16:54.930
58,C,2019/01/11 15:18:18.708
60,L,2019/01/11 15:18:39.540
75,A,2019/01/11 15:20:00.000
68,H,2019/01/11 15:20:35.501
64,B,2019/01/11 15:21:50.810
56,B,2019/01/11 15:27:00.670
71,E,2019/01/11 15:27:52.414
62,N,2019/01/11 15:36:38.356
66,L,2019/01/11 15:37:46.198
73,F,2019/01/11 15:39:42.486
76,A,2019/01/11 15:40:00.000
55,F,2019/01/11 15:40:47.217
69,F,2019/01/11 15:41:01.487
67,A,2019/01/11 15:42:25.299
70,G,2019/01/11 15:44:57.427
60,M,2019/01/11 15:45:51.077
75,B,2019/01/11 15:46:05.968
72,E,2019/01/11 15:47:57.246
58,A,2019/01/11 15:48:20.449
68,P,2019/01/11 15:49:07.956
54,A,2019/01/11 15:49:33.598
56,C,2019/01/11 15:55:56.159
64,C,2019/01/11 15:56:09.894
71,G,2019/01/11 15:58:31.054
77,A,2019/01/11 16:00:00.000
66,M,2019/01/11 16:05:47.061
73,E,2019/01/11 16:08:04.736
76,D,2019/01/11 16:11:35.941
67,D,2019/01/11 16:12:01.063
55,E,2019/01/11 16:12:05.941
75,C,2019/01/11 16:15:10.975
69,E,2019/01/11 16:16:23.971
58,B,2019/01/11 16:16:46.829
54,B,2019/01/11 16:17:14.553
