case,activity,timestamp
Case 9234,EngSupplierDesign Lead,2010/09/22 16:00:43.000
Case 498,WP Lead,2010/09/23 08:00:48.000
Case 12188,WP Lead,2010/09/23 08:00:56.000
Case 498,CRA,2010/09/23 10:00:24.000
Case 12188,CRA,2010/09/23 10:00:26.000
Case 11697,EngSupplierDesign Lead,2010/09/23 11:00:46.000
Case 18078,EngSupplierDesign Lead,2010/09/23 11:00:46.000
Case 6391,Process Creation,2010/09/23 17:00:57.000
Case 18,Process Creation,2010/09/24 10:00:18.000
Case 3615,Process Creation,2010/09/24 10:00:21.000
Case 2524,Process Creation,2010/09/24 10:00:22.000
Case 11961,Process Creation,2010/09/24 10:00:24.000
Case 11961,EngSupplierDesign Lead,2010/09/24 10:00:36.000
Case 20599,Process Creation,2010/09/24 10:00:36.000
Case 2524,EngSupplierDesign Lead,2010/09/24 10:00:37.000
Case 20599,EngSupplierDesign Lead,2010/09/24 10:00:37.000
Case 3615,EngSupplierDesign Lead,2010/09/24 10:00:38.000
Case 18,EngSupplierDesign Lead,2010/09/24 10:00:39.000
Case 19904,Process Creation,2010/09/24 10:00:47.000
Case 19905,Process Creation,2010/09/24 12:00:35.000
Case 1747,Process Creation,2010/09/24 12:00:37.000
Case 11829,Process Creation,2010/09/24 12:00:49.000
Case 21569,Process Creation,2010/09/24 13:00:29.000
Case 1383,Process Creation,2010/09/27 16:00:50.000
Case 1383,EngSupplierDesign Lead,2010/09/27 16:00:54.000
Case 6391,EngSupplierDesign Lead,2010/09/27 16:00:56.000
Case 18079,Process Creation,2010/09/28 12:00:19.000
Case 11698,Process Creation,2010/09/28 12:00:21.000
Case 11698,EngSupplierDesign Lead,2010/09/28 12:00:22.000
Case 18079,EngSupplierDesign Lead,2010/09/28 12:00:25.000
Case 21570,Process Creation,2010/09/28 17:00:07.000
Case 3454,Process Creation,2010/09/28 17:00:09.000
Case 8968,Process Creation,2010/09/28 17:00:18.000
Case 8968,EngSupplierDesign Lead,2010/09/28 17:00:25.000
Case 3454,EngSupplierDesign Lead,2010/09/28 17:00:26.000
Case 21570,EngSupplierDesign Lead,2010/09/28 17:00:26.000
Case 1735,Process Creation,2010/09/28 17:00:32.000
Case 7687,Process Creation,2010/09/28 17:00:39.000
Case 7687,EngSupplierDesign Lead,2010/09/28 17:00:40.000
Case 1735,EngSupplierDesign Lead,2010/09/28 17:00:41.000
Case 6392,Process Creation,2010/09/29 11:00:19.000
Case 6392,EngSupplierDesign Lead,2010/09/29 11:00:21.000
Case 1384,Process Creation,2010/09/29 12:00:10.000
Case 1384,EngSupplierDesign Lead,2010/09/29 12:00:11.000
Case 472,Process Creation,2010/09/29 14:00:33.000
Case 472,EngSupplierDesign Lead,2010/09/29 14:00:34.000
Case 17925,Process Creation,2010/09/29 14:00:39.000
Case 18080,Process Creation,2010/10/05 17:00:18.000
Case 11699,Process Creation,2010/10/05 17:00:25.000
Case 11699,EngSupplierDesign Lead,2010/10/07 11:00:37.000
Case 18080,EngSupplierDesign Lead,2010/10/07 11:00:37.000
Case 21571,Process Creation,2010/10/07 17:00:17.000
Case 3455,Process Creation,2010/10/07 17:00:19.000
Case 8969,Process Creation,2010/10/07 17:00:21.000
Case 15350,Process Creation,2010/10/08 09:00:35.000
Case 18705,Process Creation,2010/10/08 09:00:50.000
Case 22091,Process Creation,2010/10/08 09:00:55.000
Case 3455,EngSupplierDesign Lead,2010/10/08 11:00:36.000
Case 8969,EngSupplierDesign Lead,2010/10/08 11:00:37.000
Case 21571,EngSupplierDesign Lead,2010/10/08 11:00:37.000
Case 11700,Process Creation,2010/10/12 10:00:51.000
Case 18081,Process Creation,2010/10/12 10:00:53.000
Case 11700,EngSupplierDesign Lead,2010/10/12 11:00:06.000
Case 18081,EngSupplierDesign Lead,2010/10/12 11:00:07.000
Case 8970,Process Creation,2010/10/12 11:00:20.000
Case 8970,EngSupplierDesign Lead,2010/10/12 11:00:33.000
Case 1736,Process Creation,2010/10/12 13:00:20.000
Case 7688,Process Creation,2010/10/12 13:00:50.000
Case 1736,EngSupplierDesign Lead,2010/10/12 13:00:57.000
Case 7688,EngSupplierDesign Lead,2010/10/12 13:00:58.000
Case 16859,Process Creation,2010/10/18 12:00:21.000
Case 6393,Process Creation,2010/10/18 12:00:41.000
Case 1385,Process Creation,2010/10/18 12:00:44.000
Case 473,Process Creation,2010/10/18 12:00:47.000
Case 17926,Process Creation,2010/10/20 18:00:23.000
Case 18082,Process Creation,2010/10/21 11:00:51.000
Case 11701,Process Creation,2010/10/21 15:00:07.000
Case 19135,Process Creation,2010/10/21 15:00:24.000
Case 7467,Process Creation,2010/10/21 15:00:28.000
Case 12391,Process Creation,2010/10/21 15:00:30.000
Case 6394,Process Creation,2010/10/21 15:00:34.000
Case 6394,EngSupplierDesign Lead,2010/10/21 16:00:23.000
Case 12391,EngSupplierDesign Lead,2010/10/21 16:00:24.000
Case 7467,EngSupplierDesign Lead,2010/10/21 16:00:28.000
Case 19135,EngSupplierDesign Lead,2010/10/21 16:00:28.000
Case 17926,EngSupplierDesign Lead,2010/10/21 16:00:29.000
Case 473,EngSupplierDesign Lead,2010/10/21 16:00:30.000
Case 1385,EngSupplierDesign Lead,2010/10/21 16:00:30.000
Case 11701,EngSupplierDesign Lead,2010/10/25 09:00:18.000
Case 18082,EngSupplierDesign Lead,2010/10/25 09:00:18.000
Case 6394,WP Lead,2010/10/25 11:00:57.000
Case 7467,WP Lead,2010/10/25 12:00:03.000
Case 12391,WP Lead,2010/10/25 12:00:03.000
Case 473,WP Lead,2010/10/25 12:00:04.000
Case 19135,WP Lead,2010/10/25 12:00:04.000
Case 17926,WP Lead,2010/10/25 12:00:05.000
Case 473,CRA,2010/10/25 18:00:28.000
Case 11086,Process Creation,2010/10/27 10:00:16.000
Case 18083,Process Creation,2010/10/27 11:00:03.000
Case 11702,Process Creation,2010/10/27 11:00:12.000
Case 21572,Process Creation,2010/10/27 12:00:00.000
Case 15181,Process Creation,2010/10/27 12:00:17.000
Case 3456,Process Creation,2010/10/27 12:00:22.000
Case 8971,Process Creation,2010/10/27 12:00:28.000
Case 1737,Process Creation,2010/10/27 12:00:33.000
Case 7689,Process Creation,2010/10/27 12:00:37.000
Case 18083,EngSupplierDesign Lead,2010/10/29 14:00:32.000
Case 21572,EngSupplierDesign Lead,2010/10/29 14:00:33.000
Case 11702,EngSupplierDesign Lead,2010/10/29 14:00:34.000
Case 1385,WP Lead,2010/11/02 10:00:00.000
Case 11702,WP Lead,2010/11/02 10:00:31.000
Case 18083,WP Lead,2010/11/02 10:00:58.000
Case 7689,EngSupplierDesign Lead,2010/11/02 16:00:19.000
Case 1737,EngSupplierDesign Lead,2010/11/02 16:00:20.000
Case 3456,EngSupplierDesign Lead,2010/11/02 16:00:20.000
Case 8971,EngSupplierDesign Lead,2010/11/02 16:00:20.000
Case 15181,EngSupplierDesign Lead,2010/11/02 16:00:21.000
Case 1385,CRA,2010/11/03 10:00:36.000
Case 11703,Process Creation,2010/11/04 09:00:25.000
Case 18084,Process Creation,2010/11/04 09:00:27.000
Case 18084,EngSupplierDesign Lead,2010/11/08 15:00:38.000
Case 11703,EngSupplierDesign Lead,2010/11/08 15:00:40.000
Case 19906,Process Creation,2010/11/09 09:00:46.000
Case 1748,Process Creation,2010/11/09 09:00:54.000
Case 11830,Process Creation,2010/11/09 10:00:00.000
Case 1780,Process Creation,2010/11/09 10:00:06.000
Case 1077,Process Creation,2010/11/09 10:00:15.000
Case 18084,WP Lead,2010/11/09 11:00:17.000
Case 11703,WP Lead,2010/11/09 11:00:54.000
Case 19906,EngSupplierDesign Lead,2010/11/09 14:00:26.000
Case 1748,EngSupplierDesign Lead,2010/11/09 14:00:27.000
Case 1077,EngSupplierDesign Lead,2010/11/09 14:00:28.000
Case 1780,EngSupplierDesign Lead,2010/11/09 14:00:35.000
Case 11830,EngSupplierDesign Lead,2010/11/09 14:00:35.000
Case 19958,Process Creation,2010/11/09 16:00:21.000
Case 21031,Process Creation,2010/11/09 16:00:47.000
Case 11704,Process Creation,2010/11/11 14:00:07.000
Case 18085,Process Creation,2010/11/11 14:00:13.000
Case 19958,EngSupplierDesign Lead,2010/11/11 17:00:10.000
Case 11704,EngSupplierDesign Lead,2010/11/11 17:00:11.000
Case 18085,EngSupplierDesign Lead,2010/11/11 17:00:11.000
Case 21031,EngSupplierDesign Lead,2010/11/11 17:00:11.000
Case 15477,Process Creation,2010/11/12 10:00:45.000
Case 15477,EngSupplierDesign Lead,2010/11/12 11:00:16.000
Case 15477,WP Lead,2010/11/12 11:00:18.000
Case 18086,Process Creation,2010/11/18 09:00:27.000
Case 19959,Process Creation,2010/11/18 09:00:39.000
Case 11705,Process Creation,2010/11/18 09:00:46.000
Case 21032,Process Creation,2010/11/18 10:00:00.000
Case 19907,Process Creation,2010/11/18 10:00:04.000
Case 1749,Process Creation,2010/11/18 10:00:07.000
Case 11831,Process Creation,2010/11/18 10:00:10.000
Case 1781,Process Creation,2010/11/18 10:00:22.000
Case 1078,Process Creation,2010/11/18 10:00:24.000
Case 1078,EngSupplierDesign Lead,2010/11/18 16:00:53.000
Case 1781,EngSupplierDesign Lead,2010/11/18 16:00:54.000
Case 11831,EngSupplierDesign Lead,2010/11/18 16:00:54.000
Case 1749,EngSupplierDesign Lead,2010/11/18 17:00:08.000
Case 19907,EngSupplierDesign Lead,2010/11/18 17:00:08.000
Case 11705,EngSupplierDesign Lead,2010/11/18 17:00:09.000
Case 18086,EngSupplierDesign Lead,2010/11/18 17:00:09.000
Case 19959,EngSupplierDesign Lead,2010/11/18 17:00:09.000
Case 21032,EngSupplierDesign Lead,2010/11/18 17:00:09.000
Case 11087,Process Creation,2011/01/12 17:00:06.000
Case 11088,Process Creation,2011/01/12 17:00:55.000
Case 16482,Process Creation,2011/01/12 17:00:56.000
Case 15066,Process Creation,2011/01/12 17:00:57.000
Case 16870,Process Creation,2011/01/12 17:00:57.000
Case 9369,Process Creation,2011/01/12 17:00:58.000
Case 5541,Process Creation,2011/01/12 17:00:59.000
Case 12418,Process Creation,2011/01/12 18:00:01.000
Case 8403,Process Creation,2011/01/12 18:00:02.000
Case 8403,EngSupplierDesign Lead,2011/01/12 18:00:04.000
Case 12418,EngSupplierDesign Lead,2011/01/12 18:00:05.000
Case 5541,EngSupplierDesign Lead,2011/01/12 18:00:06.000
Case 9369,EngSupplierDesign Lead,2011/01/12 18:00:09.000
Case 16870,EngSupplierDesign Lead,2011/01/12 18:00:09.000
Case 11088,EngSupplierDesign Lead,2011/01/12 18:00:10.000
Case 15066,EngSupplierDesign Lead,2011/01/12 18:00:10.000
Case 16482,EngSupplierDesign Lead,2011/01/12 18:00:10.000
Case 11088,WP Lead,2011/01/13 10:00:57.000
Case 16482,WP Lead,2011/01/13 10:00:58.000
Case 5541,WP Lead,2011/01/13 10:00:59.000
Case 8403,WP Lead,2011/01/13 10:00:59.000
Case 12418,WP Lead,2011/01/13 10:00:59.000
Case 15066,WP Lead,2011/01/13 10:00:59.000
Case 9369,WP Lead,2011/01/13 11:00:05.000
Case 16870,WP Lead,2011/01/13 11:00:06.000
Case 12821,Process Creation,2011/01/18 14:00:40.000
Case 12821,EngSupplierDesign Lead,2011/01/18 14:00:42.000
Case 12765,Process Creation,2011/01/18 14:00:45.000
Case 12765,EngSupplierDesign Lead,2011/01/18 14:00:49.000
Case 6395,Process Creation,2011/01/18 14:00:50.000
Case 6395,EngSupplierDesign Lead,2011/01/18 14:00:52.000
Case 19908,Process Creation,2011/01/18 16:00:52.000
Case 1750,Process Creation,2011/01/18 16:00:54.000
Case 11832,Process Creation,2011/01/18 16:00:55.000
Case 1782,Process Creation,2011/01/18 16:00:57.000
Case 1079,Process Creation,2011/01/18 16:00:58.000
Case 1079,EngSupplierDesign Lead,2011/01/18 17:00:00.000
Case 1782,EngSupplierDesign Lead,2011/01/18 17:00:01.000
Case 11832,EngSupplierDesign Lead,2011/01/18 17:00:04.000
Case 1750,EngSupplierDesign Lead,2011/01/18 17:00:50.000
Case 19908,EngSupplierDesign Lead,2011/01/18 17:00:51.000
Case 20600,Process Creation,2011/01/18 17:00:55.000
Case 11962,Process Creation,2011/01/18 17:00:57.000
Case 19,Process Creation,2011/01/18 18:00:00.000
Case 3616,Process Creation,2011/01/18 18:00:03.000
Case 2525,Process Creation,2011/01/18 18:00:21.000
Case 19908,WP Lead,2011/01/19 12:00:29.000
Case 1750,WP Lead,2011/01/20 09:00:30.000
Case 1079,WP Lead,2011/01/20 10:00:40.000
Case 1782,WP Lead,2011/01/20 10:00:40.000
Case 11832,WP Lead,2011/01/20 10:00:40.000
Case 19909,Process Creation,2011/01/20 11:00:22.000
Case 19909,EngSupplierDesign Lead,2011/01/20 11:00:26.000
Case 1751,Process Creation,2011/01/20 12:00:08.000
Case 1751,EngSupplierDesign Lead,2011/01/20 12:00:09.000
Case 11833,Process Creation,2011/01/20 12:00:13.000
Case 11833,EngSupplierDesign Lead,2011/01/20 12:00:14.000
Case 1783,Process Creation,2011/01/20 12:00:43.000
Case 1783,EngSupplierDesign Lead,2011/01/20 12:00:44.000
Case 1080,Process Creation,2011/01/20 12:00:48.000
Case 1080,EngSupplierDesign Lead,2011/01/20 12:00:49.000
Case 19909,WP Lead,2011/01/20 14:00:07.000
Case 1751,WP Lead,2011/01/20 14:00:52.000
Case 1080,WP Lead,2011/01/20 14:00:53.000
Case 1783,WP Lead,2011/01/20 14:00:58.000
Case 11833,WP Lead,2011/01/20 14:00:59.000
Case 6395,WP Lead,2011/01/20 15:00:37.000
Case 12765,WP Lead,2011/01/20 15:00:43.000
Case 12766,Process Creation,2011/01/21 10:00:24.000
Case 12766,EngSupplierDesign Lead,2011/01/21 10:00:26.000
Case 7493,Process Creation,2011/01/21 10:00:47.000
Case 7493,EngSupplierDesign Lead,2011/01/21 10:00:48.000
Case 7493,WP Lead,2011/01/21 11:00:19.000
Case 12766,WP Lead,2011/01/21 11:00:19.000
Case 17535,Process Creation,2011/01/21 15:00:55.000
Case 17535,EngSupplierDesign Lead,2011/01/21 15:00:57.000
Case 6812,Process Creation,2011/01/21 16:00:44.000
Case 17535,WP Lead,2011/01/21 16:00:48.000
Case 6812,EngSupplierDesign Lead,2011/01/21 16:00:50.000
Case 6812,WP Lead,2011/01/21 16:00:53.000
Case 7397,Process Creation,2011/01/21 17:00:34.000
Case 7397,EngSupplierDesign Lead,2011/01/21 17:00:35.000
Case 14664,Process Creation,2011/01/21 17:00:49.000
Case 14664,EngSupplierDesign Lead,2011/01/21 17:00:50.000
Case 7397,WP Lead,2011/01/24 10:00:58.000
Case 14664,WP Lead,2011/01/24 10:00:59.000
Case 6396,Process Creation,2011/01/24 16:00:38.000
Case 6396,EngSupplierDesign Lead,2011/01/24 16:00:45.000
Case 7494,Process Creation,2011/01/24 17:00:20.000
Case 7494,EngSupplierDesign Lead,2011/01/24 17:00:21.000
Case 7494,WP Lead,2011/01/24 17:00:36.000
Case 1752,Process Creation,2011/01/24 17:00:49.000
Case 11834,Process Creation,2011/01/24 17:00:58.000
Case 1784,Process Creation,2011/01/24 18:00:00.000
Case 1081,Process Creation,2011/01/24 18:00:03.000
Case 2526,Process Creation,2011/01/24 18:00:29.000
Case 11963,Process Creation,2011/01/24 18:00:38.000
Case 20457,Process Creation,2011/01/24 18:00:44.000
Case 20601,Process Creation,2011/01/24 18:00:47.000
Case 16703,Process Creation,2011/01/24 18:00:50.000
Case 20585,Process Creation,2011/01/24 18:00:55.000
Case 1752,EngSupplierDesign Lead,2011/01/25 09:00:07.000
Case 11834,EngSupplierDesign Lead,2011/01/25 09:00:07.000
Case 16703,EngSupplierDesign Lead,2011/01/25 09:00:07.000
Case 20585,EngSupplierDesign Lead,2011/01/25 09:00:07.000
Case 2526,EngSupplierDesign Lead,2011/01/25 09:00:08.000
Case 11963,EngSupplierDesign Lead,2011/01/25 09:00:08.000
Case 20457,EngSupplierDesign Lead,2011/01/25 09:00:08.000
Case 20601,EngSupplierDesign Lead,2011/01/25 09:00:08.000
Case 1081,EngSupplierDesign Lead,2011/01/25 09:00:09.000
Case 1784,EngSupplierDesign Lead,2011/01/25 09:00:09.000
Case 6397,Process Creation,2011/01/25 10:00:19.000
Case 12767,Process Creation,2011/01/25 10:00:27.000
Case 12767,EngSupplierDesign Lead,2011/01/25 10:00:27.000
Case 6397,EngSupplierDesign Lead,2011/01/25 10:00:28.000
Case 6397,WP Lead,2011/01/25 10:00:30.000
Case 12767,WP Lead,2011/01/25 10:00:31.000
Case 12822,Process Creation,2011/01/25 11:00:53.000
Case 12822,EngSupplierDesign Lead,2011/01/25 11:00:55.000
Case 17536,Process Creation,2011/01/25 12:00:11.000
Case 17536,EngSupplierDesign Lead,2011/01/25 12:00:12.000
Case 12822,WP Lead,2011/01/25 12:00:14.000
Case 17536,WP Lead,2011/01/25 12:00:14.000
Case 19910,Process Creation,2011/01/25 14:00:32.000
Case 17536,CRA,2011/01/25 17:00:09.000
Case 12822,CRA,2011/01/25 17:00:10.000
Case 12823,Process Creation,2011/01/26 10:00:12.000
Case 12823,EngSupplierDesign Lead,2011/01/26 10:00:13.000
Case 17537,Process Creation,2011/01/26 10:00:15.000
Case 17537,EngSupplierDesign Lead,2011/01/26 10:00:16.000
Case 12823,WP Lead,2011/01/26 10:00:17.000
Case 17537,WP Lead,2011/01/26 10:00:18.000
Case 11089,Process Creation,2011/01/26 11:00:07.000
Case 16483,Process Creation,2011/01/26 11:00:09.000
Case 16871,Process Creation,2011/01/26 11:00:11.000
Case 15067,Process Creation,2011/01/26 11:00:14.000
Case 11089,EngSupplierDesign Lead,2011/01/26 11:00:16.000
Case 15067,EngSupplierDesign Lead,2011/01/26 11:00:16.000
Case 16483,EngSupplierDesign Lead,2011/01/26 11:00:16.000
Case 16871,EngSupplierDesign Lead,2011/01/26 11:00:16.000
Case 11089,WP Lead,2011/01/26 11:00:17.000
Case 16483,WP Lead,2011/01/26 11:00:17.000
Case 15067,WP Lead,2011/01/26 11:00:18.000
Case 16871,WP Lead,2011/01/26 11:00:18.000
Case 6398,Process Creation,2011/01/26 14:00:57.000
Case 6398,EngSupplierDesign Lead,2011/01/26 14:00:58.000
Case 6398,WP Lead,2011/01/26 14:00:59.000
Case 12768,Process Creation,2011/01/26 16:00:47.000
Case 12768,EngSupplierDesign Lead,2011/01/26 16:00:48.000
Case 7495,Process Creation,2011/01/26 16:00:51.000
Case 7495,EngSupplierDesign Lead,2011/01/26 16:00:52.000
Case 20,Process Creation,2011/01/26 17:00:36.000
Case 12824,Process Creation,2011/01/26 17:00:42.000
Case 17538,Process Creation,2011/01/26 17:00:46.000
Case 5134,Process Creation,2011/01/26 17:00:47.000
Case 3617,Process Creation,2011/01/26 17:00:48.000
Case 6813,Process Creation,2011/01/26 17:00:49.000
Case 2527,Process Creation,2011/01/26 17:00:54.000
Case 20586,Process Creation,2011/01/26 17:00:57.000
Case 7398,Process Creation,2011/01/26 18:00:06.000
Case 11964,Process Creation,2011/01/26 18:00:08.000
Case 14665,Process Creation,2011/01/26 18:00:08.000
Case 2576,Process Creation,2011/01/26 18:00:15.000
Case 6813,EngSupplierDesign Lead,2011/01/26 18:00:16.000
Case 7398,EngSupplierDesign Lead,2011/01/26 18:00:16.000
Case 12824,EngSupplierDesign Lead,2011/01/26 18:00:16.000
Case 14665,EngSupplierDesign Lead,2011/01/26 18:00:16.000
Case 17538,EngSupplierDesign Lead,2011/01/26 18:00:16.000
Case 2576,EngSupplierDesign Lead,2011/01/26 18:00:17.000
Case 7495,WP Lead,2011/01/26 18:00:18.000
Case 12768,WP Lead,2011/01/26 18:00:18.000
Case 12824,WP Lead,2011/01/26 18:00:18.000
Case 2576,WP Lead,2011/01/26 18:00:19.000
Case 6813,WP Lead,2011/01/26 18:00:19.000
Case 7398,WP Lead,2011/01/26 18:00:19.000
Case 14665,WP Lead,2011/01/26 18:00:19.000
Case 17538,WP Lead,2011/01/26 18:00:19.000
Case 20458,Process Creation,2011/01/26 18:00:20.000
Case 20602,Process Creation,2011/01/26 18:00:27.000
Case 16704,Process Creation,2011/01/26 18:00:31.000
Case 20,EngSupplierDesign Lead,2011/01/26 18:00:32.000
Case 16704,EngSupplierDesign Lead,2011/01/26 18:00:32.000
Case 19910,EngSupplierDesign Lead,2011/01/26 18:00:32.000
Case 20602,EngSupplierDesign Lead,2011/01/26 18:00:32.000
Case 2527,EngSupplierDesign Lead,2011/01/26 18:00:33.000
Case 5134,EngSupplierDesign Lead,2011/01/26 18:00:33.000
Case 11964,EngSupplierDesign Lead,2011/01/26 18:00:33.000
Case 20458,EngSupplierDesign Lead,2011/01/26 18:00:33.000
Case 20586,EngSupplierDesign Lead,2011/01/26 18:00:33.000
Case 3617,EngSupplierDesign Lead,2011/01/26 18:00:34.000
Case 8538,Process Creation,2011/01/28 12:00:50.000
Case 4513,Process Creation,2011/01/28 12:00:51.000
Case 4513,EngSupplierDesign Lead,2011/01/28 12:00:52.000
Case 8538,EngSupplierDesign Lead,2011/01/28 12:00:52.000
Case 12825,Process Creation,2011/01/31 10:00:31.000
Case 17539,Process Creation,2011/01/31 10:00:36.000
Case 6814,Process Creation,2011/01/31 10:00:40.000
Case 7399,Process Creation,2011/01/31 10:00:45.000
Case 14666,Process Creation,2011/01/31 10:00:50.000
Case 6814,EngSupplierDesign Lead,2011/01/31 10:00:51.000
Case 12825,EngSupplierDesign Lead,2011/01/31 10:00:51.000
Case 17539,EngSupplierDesign Lead,2011/01/31 10:00:51.000
Case 7399,EngSupplierDesign Lead,2011/01/31 10:00:52.000
Case 14666,EngSupplierDesign Lead,2011/01/31 10:00:52.000
Case 7496,Process Creation,2011/01/31 12:00:44.000
Case 7496,EngSupplierDesign Lead,2011/01/31 12:00:45.000
Case 6399,Process Creation,2011/01/31 12:00:53.000
Case 6399,EngSupplierDesign Lead,2011/01/31 12:00:54.000
Case 12825,WP Lead,2011/01/31 12:00:55.000
Case 6399,WP Lead,2011/01/31 12:00:56.000
Case 6814,WP Lead,2011/01/31 12:00:56.000
Case 7399,WP Lead,2011/01/31 12:00:56.000
Case 7496,WP Lead,2011/01/31 12:00:56.000
Case 14666,WP Lead,2011/01/31 12:00:56.000
Case 17539,WP Lead,2011/01/31 12:00:56.000
Case 11090,Process Creation,2011/01/31 15:00:12.000
Case 16484,Process Creation,2011/01/31 15:00:13.000
Case 16872,Process Creation,2011/01/31 15:00:14.000
Case 15068,Process Creation,2011/01/31 15:00:16.000
Case 5542,Process Creation,2011/01/31 15:00:18.000
Case 9370,Process Creation,2011/01/31 15:00:19.000
Case 8404,Process Creation,2011/01/31 15:00:21.000
Case 12419,Process Creation,2011/01/31 15:00:22.000
Case 961,Process Creation,2011/01/31 15:00:23.000
Case 1399,Process Creation,2011/01/31 15:00:24.000
Case 4097,Process Creation,2011/01/31 15:00:25.000
Case 8343,Process Creation,2011/01/31 15:00:26.000
Case 11090,EngSupplierDesign Lead,2011/01/31 15:00:27.000
Case 16484,EngSupplierDesign Lead,2011/01/31 15:00:27.000
Case 16872,EngSupplierDesign Lead,2011/01/31 15:00:27.000
Case 961,EngSupplierDesign Lead,2011/01/31 15:00:28.000
Case 1399,EngSupplierDesign Lead,2011/01/31 15:00:28.000
Case 5542,EngSupplierDesign Lead,2011/01/31 15:00:28.000
Case 8404,EngSupplierDesign Lead,2011/01/31 15:00:28.000
Case 9370,EngSupplierDesign Lead,2011/01/31 15:00:28.000
Case 12419,EngSupplierDesign Lead,2011/01/31 15:00:28.000
Case 15068,EngSupplierDesign Lead,2011/01/31 15:00:28.000
Case 4097,EngSupplierDesign Lead,2011/01/31 15:00:29.000
Case 8343,EngSupplierDesign Lead,2011/01/31 15:00:29.000
Case 22179,Process Creation,2011/01/31 16:00:14.000
Case 7151,Process Creation,2011/01/31 16:00:15.000
Case 3774,Process Creation,2011/01/31 16:00:21.000
Case 8050,Process Creation,2011/01/31 16:00:22.000
Case 3258,Process Creation,2011/01/31 16:00:29.000
Case 16759,Process Creation,2011/01/31 16:00:30.000
Case 7151,EngSupplierDesign Lead,2011/01/31 16:00:35.000
Case 22179,EngSupplierDesign Lead,2011/01/31 16:00:35.000
Case 3258,EngSupplierDesign Lead,2011/01/31 16:00:36.000
Case 3774,EngSupplierDesign Lead,2011/01/31 16:00:36.000
Case 8050,EngSupplierDesign Lead,2011/01/31 16:00:36.000
Case 16759,EngSupplierDesign Lead,2011/01/31 16:00:36.000
Case 17694,Process Creation,2011/01/31 17:00:18.000
Case 10986,Process Creation,2011/01/31 17:00:19.000
Case 10986,EngSupplierDesign Lead,2011/01/31 17:00:20.000
Case 17694,EngSupplierDesign Lead,2011/01/31 17:00:20.000
Case 11090,WP Lead,2011/01/31 17:00:26.000
Case 5542,WP Lead,2011/01/31 17:00:27.000
Case 9370,WP Lead,2011/01/31 17:00:27.000
Case 15068,WP Lead,2011/01/31 17:00:27.000
Case 16484,WP Lead,2011/01/31 17:00:27.000
Case 16872,WP Lead,2011/01/31 17:00:27.000
Case 961,WP Lead,2011/01/31 17:00:28.000
Case 1399,WP Lead,2011/01/31 17:00:28.000
Case 8404,WP Lead,2011/01/31 17:00:28.000
Case 12419,WP Lead,2011/01/31 17:00:28.000
Case 3774,WP Lead,2011/01/31 17:00:29.000
Case 4097,WP Lead,2011/01/31 17:00:29.000
Case 7151,WP Lead,2011/01/31 17:00:29.000
Case 8343,WP Lead,2011/01/31 17:00:29.000
